% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.322555407e+06 +1.322555407e+06 +1.322591307e+06 +1.322591307e+06 -4.3398e+00 -9.9813e-01 +4.6663e+00 -1.4833e+00 +8.3957e-01 -1.3051e+00 +3.9119e+00 -4.8338e+00 -4.6440e+00 +3.6185e+00 +1.8104e+00 -7.2903e-01 +2.2175e+00 +2.8275e+00 +3.0010e+00 +1.5283e+00 -4.7423e+00 -2.4074e+00 +1.2693e+00 -4.4740e+00
5 +7.643298983e+05 +7.643298983e+05 +7.643657983e+05 +7.643657983e+05 -8.9711e-01 +4.1655e+00 -2.0819e+00 +2.2655e-01 +6.9427e-02 -2.5047e+00 -1.8072e+00 -3.4694e+00 -3.8693e+00 -1.7234e+00 -4.4225e-01 +1.9876e+00 +4.0706e+00 +3.4378e+00 +1.9329e+00 -3.3365e+00 -9.7852e-01 +3.2047e+00 +4.4790e+00 +1.1705e+00
22 +6.012097520e+05 +6.012097520e+05 +6.012456520e+05 +6.012456520e+05 -1.8003e+00 +5.0405e-01 +2.1078e+00 -4.5870e+00 -3.8603e+00 -4.5560e+00 +4.3872e+00 -4.4962e+00 +1.8806e+00 -3.0598e+00 -1.0779e+00 -3.8477e+00 +4.4967e+00 +1.0077e+00 -1.0158e+00 -4.6192e+00 +3.4738e-01 +1.2298e+00 -4.9636e+00 +2.4086e+00
202 +3.343735250e+05 +3.343735250e+05 +3.344094250e+05 +3.344094250e+05 -8.9711e-01 +2.4525e+00 +1.1085e+00 +2.2655e-01 +2.3491e-01 -3.4243e+00 -1.8072e+00 -5.9513e+00 -5.9720e-01 -9.5209e-01 -4.4225e-01 +2.8353e-01 +3.5224e-01 +1.6133e+00 +1.9329e+00 -1.5064e+00 -9.7852e-01 +9.5807e-01 +1.8884e+00 +8.8711e-02
501 +1.852279819e+05 +1.852279819e+05 +1.852638819e+05 +1.852638819e+05 +2.5108e+00 +2.4525e+00 +1.1085e+00 +2.2655e-01 -3.1621e+00 -3.4243e+00 -1.8072e+00 -4.2559e+00 -5.9720e-01 -3.6232e+00 -2.3977e+00 +3.5977e+00 +8.5870e-01 +7.4459e-01 -3.0608e-01 -2.4343e+00 -9.7852e-01 +9.5807e-01 -1.3214e+00 -1.7470e+00
701 +1.480653081e+05 +1.480653081e+05 +1.481012081e+05 +1.481012081e+05 +2.5108e+00 +2.4525e+00 +2.1596e+00 +2.2655e-01 -3.1621e+00 -6.3256e+00 -1.8072e+00 -4.2559e+00 +2.6849e-01 -3.6232e+00 -2.3977e+00 +3.5977e+00 +8.5870e-01 +7.4459e-01 -7.6303e-01 -2.4343e+00 -9.7852e-01 +3.9194e+00 -1.3214e+00 -1.7470e+00
1201 +1.369807755e+04 +1.369807755e+04 +1.373397755e+04 +1.373397755e+04 -2.3144e+00 +3.3958e+00 +2.7077e+00 +3.2210e+00 -3.4610e+00 -4.9028e+00 +1.7844e+00 -2.6599e+00 +2.9132e+00 -4.8723e+00 -1.8338e+00 -1.0195e-01 +6.0877e-01 -1.5566e+00 +6.1038e+00 -4.4168e+00 +5.6743e-01 +7.5399e+00 +2.3221e+00 -2.2383e+00
1804 +8.844582873e+03 +8.844582873e+03 +8.880482873e+03 +8.880482873e+03 -1.0747e+00 +2.4525e+00 +4.1843e+00 +4.9204e+00 -3.7893e+00 -5.4113e+00 -9.6143e-02 -4.3526e+00 +1.0042e+00 -3.7619e+00 -1.9614e+00 -4.6599e+00 +8.8287e-02 -3.2463e+00 +4.1647e+00 -4.1560e+00 +1.3443e+00 +8.2231e+00 -1.3214e+00 +2.7203e-01
2002 +1.253262851e+03 +1.253262851e+03 +1.289162851e+03 +1.289162851e+03 -9.7197e-01 +5.7204e+00 +4.1843e+00 +2.3189e+00 -3.2181e+00 -7.2481e+00 -9.6143e-02 -5.6651e+00 +1.0042e+00 -3.7619e+00 -7.6747e-01 -4.6599e+00 -6.5609e-01 -3.7365e+00 +2.1298e+00 -4.1560e+00 +2.3654e+00 +6.9859e+00 -3.1888e+00 +2.7203e-01
2021 +9.767938014e+02 +9.767938014e+02 +1.012693801e+03 +1.012693801e+03 -1.5283e+00 +7.4542e+00 +9.3250e+00 +2.8631e+00 -6.3832e+00 -9.1959e+00 +6.6309e-01 -1.4149e+01 +3.8101e+00 -1.5401e+00 -5.5920e+00 -5.7167e+00 -1.2200e+00 -4.5222e+00 +4.5465e-01 -5.9355e+00 +3.5794e+00 +1.3956e+01 -2.0099e+00 -1.5578e+00
2162 +2.749039820e+02 +2.749039820e+02 +3.108039820e+02 +3.108039820e+02 +1.2428e+00 +2.1714e+00 +7.6509e+00 +1.3641e+00 -4.9305e+00 -5.1028e+00 +1.6276e-01 -5.5615e+00 +3.5223e+00 -4.2991e+00 -2.9407e+00 -2.2530e+00 +4.9481e-01 -2.1781e+00 +1.3970e+00 -5.9670e+00 -1.7088e+00 +9.0699e+00 -4.2323e+00 -2.5017e+00
2321 +1.315841561e+02 +1.315841561e+02 +1.674841561e+02 +1.674841561e+02 +1.4994e+00 +3.6392e+00 +5.9602e+00 +4.1736e+00 -5.3688e+00 -6.0377e+00 -2.2124e+00 -7.6753e+00 +2.5085e-01 -3.8482e+00 -1.3617e+00 -2.1280e+00 -1.1150e+00 -3.0540e+00 +6.3216e-01 -3.7301e+00 +9.1570e-01 +5.7954e+00 -1.2419e+00 -1.8910e+00
