% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.632518011e+01 +7.632518011e+01 +1.171051801e+02 +1.171051801e+02 +6.8130e-01 -1.1292e+00 +3.4054e+00 -2.9361e+00 +3.5229e+00 +1.7141e+00 +3.3300e+00 +2.0399e+00 +2.5114e+00 -1.9912e+00 -1.5365e+00 +3.7135e+00 -2.2831e+00 -1.4074e+00 +1.3762e-01 -6.8897e-01 +3.1035e+00 +2.3184e+00 +7.3509e-02 +1.9651e+00
127 +6.245930092e+01 +6.245930092e+01 +1.032393009e+02 +1.032393009e+02 -4.5022e-01 -9.2641e-01 +4.2491e+00 -3.0429e+00 +2.8664e+00 +3.5481e+00 +1.6110e+00 +1.4434e+00 +1.5101e+00 +2.9859e-01 -2.0520e+00 +8.4230e-01 -5.8204e+00 -6.2540e-02 +4.4415e+00 -2.7601e-01 +5.4084e-01 -2.7596e-01 +3.4200e+00 -1.1455e+00
275 +3.164638719e+01 +3.164638719e+01 +7.242638719e+01 +7.242638719e+01 +7.7361e-01 -2.9239e+00 +3.6946e+00 -9.8905e-01 +2.3876e+00 +1.5702e+00 +2.0295e-01 +1.5916e+00 +2.4045e+00 -2.3321e-01 -1.1156e+00 +6.5259e-01 -2.2591e+00 +1.0796e-01 +2.8550e+00 +1.5574e+00 +1.4607e+00 +1.5426e+00 +2.6369e+00 -3.8622e-01
332 +2.241121857e+01 +2.241121857e+01 +6.319121857e+01 +6.319121857e+01 -9.8808e-01 -2.3570e+00 +4.4942e+00 -1.1047e+00 +2.1171e+00 +2.1273e+00 +3.6969e-02 +2.2996e+00 +2.6413e+00 -1.7841e+00 -1.4822e+00 +8.1542e-01 -2.5234e+00 +1.9194e+00 +3.0370e+00 -1.8737e-01 +2.4581e+00 +1.8176e+00 +3.1441e+00 -1.6252e-01
471 +1.575018506e+01 +1.575018506e+01 +5.653018506e+01 +5.653018506e+01 -4.5070e-01 -1.9790e+00 +4.6116e+00 -2.4215e-01 +2.0054e+00 +1.5827e+00 -1.0818e+00 +1.6660e+00 +3.2399e+00 -4.2342e-01 -1.0079e+00 +1.5813e+00 -3.9663e+00 +1.8955e+00 +2.3104e+00 +1.1875e+00 +2.0370e+00 +2.6499e+00 +2.5376e+00 -1.0746e+00
16400 +9.351743044e+00 +9.351743044e+00 +5.013174304e+01 +5.013174304e+01 +1.6493e+00 +3.0999e+00 -1.4710e+00 +2.0719e+00 -3.3130e+00 +4.3035e+00 +1.6921e+00 +6.7959e-01 -3.7366e+00 -4.1168e+00 -3.5718e+00 +4.5678e+00 +3.8689e+00 -1.0863e+00 +5.1050e-01 -2.2010e+00 -1.8933e+00 +4.2039e+00 +3.8096e+00 -3.1177e+00
16484 +6.185583719e+00 +6.185583719e+00 +4.696558372e+01 +4.696558372e+01 +2.4504e+00 +3.7963e+00 -1.9452e+00 +1.5813e+00 -3.4931e+00 +3.5918e+00 +1.4864e+00 +8.1682e-01 -3.6331e+00 -3.6359e+00 -3.9668e+00 +3.7269e+00 +3.8520e+00 -1.0303e+00 +7.5184e-01 -2.0460e+00 -1.3934e+00 +3.5762e+00 +3.7414e+00 -2.3238e+00
16896 +3.956707278e+00 +3.956707278e+00 +4.473670728e+01 +4.473670728e+01 +2.1401e+00 +3.0084e+00 -2.2978e+00 +1.6144e+00 -3.5474e+00 +3.7923e+00 +2.1010e+00 +1.1806e+00 -3.4957e+00 -3.6196e+00 -4.0750e+00 +4.1156e+00 +3.3205e+00 -9.9676e-01 +5.3812e-01 -2.5297e+00 -1.9802e+00 +3.3351e+00 +3.7139e+00 -2.3154e+00
128663 +2.506075920e+00 +2.506075920e+00 +4.328607592e+01 +4.328607592e+01 -1.1317e+00 +5.1290e+00 +3.2816e+00 -2.5107e+00 -2.5129e-01 +1.2656e+00 +1.2060e+00 -6.0695e-02 +4.1389e+00 -1.8776e+00 +4.8288e-01 -2.4256e-01 +5.2645e+00 +1.2101e+00 -1.4335e+00 +8.0908e-01 +9.0700e-01 -3.2014e+00 -1.0921e+00 +4.3938e+00
177756 +7.486355814e-01 +7.486355814e-01 +4.152863558e+01 +4.152863558e+01 -2.2947e+00 -1.5291e+00 +3.9688e+00 -1.8286e+00 -3.2263e+00 +2.3969e+00 -4.2434e+00 -2.2970e+00 +2.4388e+00 -2.5757e+00 +9.7492e-01 -2.5494e+00 +6.3369e-01 +2.4395e+00 -8.3029e-01 -3.7869e-01 +2.7113e+00 +2.5606e-01 +1.0727e+00 +1.4955e+00
