% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.166190565e+02 +8.166190565e+02 +9.192290565e+02 +9.192290565e+02 +8.9667e-01 -4.0163e+00 +2.7034e+00 -3.1002e+00 +2.4307e+00 -4.4355e+00 -2.1897e-01 +1.5007e+00 +1.3004e+00 +4.2575e+00 -3.8031e+00 +1.5539e+00 -5.1792e-01 -2.5302e+00 -4.2684e-01 -3.8402e+00 +6.1996e-01 -4.7940e+00 +6.1614e-01 -3.1210e+00
3 +6.203371438e+02 +6.203371438e+02 +7.229471438e+02 +7.229471438e+02 +1.4128e-01 +1.2574e+00 -3.3398e+00 -1.5132e-01 -1.1728e+00 +2.2690e+00 +4.2375e+00 -2.7899e+00 +2.8051e+00 +2.9639e+00 +2.7213e-01 +1.7511e+00 -3.2378e+00 -1.9353e+00 -3.7052e+00 -8.3355e-01 +3.9552e-01 +1.1262e+00 -2.8922e-01 -3.1996e+00
808 +3.950969400e+02 +3.950969400e+02 +4.977069400e+02 +4.977069400e+02 +2.3420e-01 +6.9822e-01 +1.0476e+00 +1.0158e+00 -2.4378e+00 -8.3259e-01 +2.0137e+00 -1.5600e+00 +5.4017e-01 +1.1218e+00 -4.2426e-01 -2.0171e+00 +2.0652e+00 +2.3144e+00 +2.2326e-01 -3.4492e-01 +4.3668e-01 +1.5408e+00 -4.5846e-01 +6.8457e-01
3370 +2.387335275e+02 +2.387335275e+02 +3.413435275e+02 +3.413435275e+02 -1.5037e+00 +2.8231e+00 -3.3954e-01 +2.8440e+00 -2.0598e+00 +1.7545e-01 -1.4232e+00 +1.3768e-02 -1.1575e+00 +1.0421e+00 +6.0690e-01 -6.7314e-01 -2.2143e+00 +3.5453e+00 -1.3451e+00 +2.5242e-01 -4.0233e-01 -2.8208e+00 +1.7592e+00 +1.4739e+00
9676 +1.344106516e+02 +1.344106516e+02 +2.370206516e+02 +2.370206516e+02 +1.1188e+00 +1.2354e+00 -5.6028e-01 +2.0410e+00 -8.3218e-01 -8.6241e-01 -1.4673e+00 -1.4730e+00 -1.7966e+00 +1.3284e+00 -1.0598e+00 -1.6401e+00 -5.7346e-01 +1.3092e+00 -1.5333e+00 -1.7596e+00 -1.5189e+00 -2.6130e+00 +1.5059e+00 +2.5809e+00
554606 +9.909752068e+01 +9.909752068e+01 +2.017075207e+02 +2.017075207e+02 +1.6721e+00 +1.1468e+00 -1.2237e+00 +1.2704e+00 -1.1682e+00 -1.1188e+00 -1.1128e+00 -1.3878e+00 -1.7077e+00 +1.7828e+00 -1.6922e+00 -1.4052e+00 -1.1285e+00 +1.7423e+00 -1.5421e+00 -1.6539e+00 -7.8721e-01 -1.5633e+00 +1.7860e+00 +1.9638e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.258980771e+02 +6.258980771e+02 +7.191980771e+02 +7.191980771e+02 +3.1176e+00 +1.0707e-01 +3.4002e+00 -3.9893e+00 +2.9860e+00 +2.2279e+00 -2.2969e+00 +8.0610e-01 +2.9087e+00 -3.2090e+00 +9.1566e-01 -2.4527e+00 +1.1544e+00 -3.8288e+00 -2.7410e+00 +3.2745e+00 -1.1966e+00 +3.1158e+00 -4.6093e-01 -4.6530e-01
1426 +3.621173348e+02 +3.621173348e+02 +4.554173348e+02 +4.554173348e+02 -2.3121e+00 -1.5320e+00 -3.1157e+00 -8.9598e-01 +1.5896e+00 -1.3222e-01 -3.0435e+00 -1.3976e+00 +1.4790e+00 -1.8248e+00 +2.3638e+00 +1.8512e+00 -4.1691e-01 +3.8051e+00 -1.3511e+00 -1.7436e+00 -9.7153e-01 -4.8181e-01 -4.3424e+00 -1.6828e+00
2012 +2.384025791e+02 +2.384025791e+02 +3.317025791e+02 +3.317025791e+02 +1.1325e-01 +1.5580e+00 +2.7951e-01 +2.1717e+00 +2.6983e+00 +3.2552e-01 -7.3829e-01 -1.2641e+00 +1.9597e+00 +1.4569e+00 +1.1461e+00 -1.1530e-02 -1.4024e+00 -3.1231e+00 -8.8219e-01 +1.5762e+00 +1.9014e+00 -1.4548e-01 +1.6019e+00 +7.8483e-01
9122 +1.504986648e+02 +1.504986648e+02 +2.437986648e+02 +2.437986648e+02 +4.6636e-01 -5.7830e-01 -1.5712e+00 -2.1348e+00 -2.0545e+00 +1.2184e+00 -1.7041e+00 +4.2361e-01 -1.6706e+00 -9.8678e-01 +2.3535e+00 +2.5826e+00 +1.5582e+00 +7.7649e-01 -9.5809e-01 -2.3551e+00 -2.3849e+00 +6.4452e-01 -9.7292e-01 -1.0605e+00
217524 +9.669281874e+01 +9.669281874e+01 +1.899928187e+02 +1.899928187e+02 -1.1727e+00 +1.1240e+00 +1.2546e+00 +1.1254e+00 +1.0542e+00 -5.9868e-01 +1.2165e+00 -1.1078e+00 +1.2209e+00 +9.6480e-01 -1.2128e+00 -1.4116e+00 -1.5365e+00 -1.5357e+00 +1.1543e+00 +1.5405e+00 +1.2385e+00 -1.1195e+00 +2.1633e-01 +1.4501e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
