% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.309595624e+02 +2.309595624e+02 +2.140195624e+02 +2.140195624e+02 +3.8589e+00 -4.2317e+00 -2.2239e+00 +4.5305e+00 -1.9806e+00 -1.2652e+00 -4.2872e+00 +1.5341e+00 -2.8635e+00 +1.9237e+00 -3.1693e+00 -3.2577e+00 +3.8247e+00 -1.6110e+00 -1.0532e+00 -1.6629e+00 +2.3800e+00 -3.7582e+00 -2.3810e+00 -1.1112e+00
2 +1.034192397e+02 +1.034192397e+02 +8.647923971e+01 +8.647923971e+01 -6.4124e-01 -3.1778e+00 +3.1891e-01 -1.0506e+00 -4.1172e+00 -4.7111e+00 +1.1249e+00 +2.4387e+00 -2.3729e+00 +8.5858e-01 -1.2071e+00 +2.6941e+00 -4.5256e+00 -4.0969e+00 +4.6386e+00 -4.0809e+00 -4.2378e+00 +4.0813e-01 +2.9896e-03 +2.8425e+00
3 +6.594180813e+01 +6.594180813e+01 +4.900180813e+01 +4.900180813e+01 +2.5201e+00 -2.2349e+00 +2.2983e-01 -1.7406e+00 +3.6570e+00 +2.5526e+00 -2.0716e+00 +4.3898e-01 +1.0151e+00 -3.0558e+00 -1.7930e+00 +4.5756e+00 +3.6523e+00 +4.0989e-01 -3.1824e+00 -4.4482e+00 -3.0352e+00 -2.1338e+00 +3.0633e+00 +2.0365e+00
5 +3.966282783e+01 +3.966282783e+01 +2.272282783e+01 +2.272282783e+01 -3.1575e+00 -2.6569e+00 -4.1101e+00 -8.5915e-01 +1.0273e+00 -2.8156e-01 -4.4435e+00 +7.9011e-01 +2.5725e+00 -1.1315e+00 +5.2862e-01 -4.8490e+00 -3.2190e+00 -4.7516e+00 +4.0229e-01 +7.5561e-01 -1.4789e+00 -2.5313e+00 -7.7619e-01 +2.0841e+00
20 +1.404291947e+01 +1.404291947e+01 -2.897080529e+00 -2.897080529e+00 +1.5989e+00 -3.6990e+00 -2.2053e+00 -2.3905e+00 +1.7741e+00 -1.9183e+00 +9.4711e-01 -2.6349e+00 +1.7549e+00 +3.8558e+00 +1.9551e+00 -2.0987e+00 -1.7913e+00 -2.8802e+00 +1.3590e+00 -4.4562e-01 +1.7936e+00 -2.5764e-01 +1.8664e+00 +1.4719e+00
404 +5.939120480e+00 +5.939120480e+00 -1.100087952e+01 -1.100087952e+01 +4.9676e+00 +2.5492e+00 -1.4257e+00 +1.8145e+00 +4.3040e+00 -1.2978e+00 +1.0685e+00 -5.8423e-01 -1.4529e+00 -1.1982e-01 +1.5024e+00 +7.1351e-01 -3.6100e+00 -1.6250e+00 +3.9790e+00 +3.7586e+00 +2.2283e+00 -3.4999e-01 -2.4964e+00 +1.2832e+00
2401 +2.459405654e+00 +2.459405654e+00 -1.448059435e+01 -1.448059435e+01 +2.2746e+00 +2.2569e+00 -8.8040e-01 +7.4562e-01 +2.0241e+00 -7.7883e-01 +3.4330e+00 -2.0273e+00 +4.2698e-01 -1.4145e+00 +3.9706e+00 -2.8490e-02 -1.3092e+00 -1.2424e+00 +2.2921e+00 +3.4412e+00 +2.4878e+00 -4.4994e-01 -2.5340e-01 +3.2505e+00
5102 +1.545504465e+00 +1.545504465e+00 -1.539449553e+01 -1.539449553e+01 +3.0819e+00 +2.9443e+00 -9.7666e-01 +1.3768e+00 +1.4033e+00 -2.1168e+00 +3.8408e+00 -1.9035e+00 -5.9109e-01 -1.4459e+00 +3.5091e+00 -3.9350e-01 -2.8028e+00 -1.6764e+00 +3.0497e+00 +3.2787e+00 +4.1326e+00 -1.9948e-01 +5.0767e-01 +1.3031e+00
6937 +9.765227315e-01 +9.765227315e-01 -1.596347727e+01 -1.596347727e+01 +3.6873e+00 +2.5536e+00 -1.5491e+00 +1.2098e+00 +1.9661e+00 -1.7560e+00 +3.1326e+00 -2.7514e+00 -2.4710e-01 -1.4405e+00 +4.0427e+00 +5.2379e-01 -2.7014e+00 -1.2687e+00 +2.8646e+00 +3.4229e+00 +3.8697e+00 -6.2988e-01 -4.9812e-01 +2.6818e+00
8705 +6.021294023e-01 +6.021294023e-01 -1.633787060e+01 -1.633787060e+01 +3.6862e+00 +2.6419e+00 -1.4985e+00 +1.3739e+00 +1.3531e+00 -1.7994e+00 +3.0881e+00 -2.0196e+00 -6.8545e-01 -2.1970e+00 +3.8420e+00 +9.3051e-02 -2.7617e+00 -1.3942e+00 +2.4596e+00 +3.0197e+00 +3.9927e+00 -3.7571e-01 +3.2974e-01 +2.0075e+00
10402 +3.924535666e-01 +3.924535666e-01 -1.654754643e+01 -1.654754643e+01 +3.6248e+00 +2.5438e+00 -1.5340e+00 +1.5174e+00 +1.4197e+00 -1.9685e+00 +3.5198e+00 -2.2853e+00 -4.1646e-01 -1.9388e+00 +4.0428e+00 +1.5994e-01 -2.7898e+00 -1.4340e+00 +2.4910e+00 +3.0729e+00 +3.8076e+00 -3.3010e-01 +6.1689e-02 +2.3368e+00
13201 +1.902259120e-01 +1.902259120e-01 -1.674977409e+01 -1.674977409e+01 +3.6862e+00 +2.4405e+00 -1.5440e+00 +1.5857e+00 +1.5401e+00 -1.8056e+00 +3.3993e+00 -2.5132e+00 -3.2961e-01 -1.8939e+00 +3.9618e+00 +2.9549e-01 -2.4522e+00 -1.5119e+00 +2.3538e+00 +3.0541e+00 +3.8399e+00 -2.6155e-01 +3.4155e-01 +2.0396e+00
13907 +1.584830838e-01 +1.584830838e-01 -1.678151692e+01 -1.678151692e+01 +3.6832e+00 +2.4716e+00 -1.5220e+00 +1.5070e+00 +1.4253e+00 -1.9506e+00 +3.4066e+00 -2.4910e+00 -4.1564e-01 -1.9225e+00 +4.0058e+00 +2.0134e-01 -2.5961e+00 -1.4059e+00 +2.5517e+00 +3.0421e+00 +3.7588e+00 -3.5775e-01 +2.6282e-01 +2.1400e+00
18050 +9.802561693e-02 +9.802561693e-02 -1.684197438e+01 -1.684197438e+01 +3.7044e+00 +2.5687e+00 -1.5885e+00 +1.5504e+00 +1.4182e+00 -1.9427e+00 +3.3970e+00 -2.5342e+00 -4.0966e-01 -1.9195e+00 +3.9484e+00 +2.4865e-01 -2.5616e+00 -1.4086e+00 +2.4794e+00 +3.0113e+00 +3.8131e+00 -3.4836e-01 +3.2353e-01 +2.0855e+00
22625 +5.115341401e-02 +5.115341401e-02 -1.688884659e+01 -1.688884659e+01 +3.6726e+00 +2.5092e+00 -1.5047e+00 +1.5392e+00 +1.4529e+00 -1.9007e+00 +3.4430e+00 -2.4063e+00 -3.7676e-01 -1.9648e+00 +3.9202e+00 +1.9979e-01 -2.5526e+00 -1.4147e+00 +2.5197e+00 +3.0525e+00 +3.8677e+00 -3.6696e-01 +2.9170e-01 +2.1433e+00
26804 +3.968136815e-02 +3.968136815e-02 -1.690031863e+01 -1.690031863e+01 +3.6698e+00 +2.5136e+00 -1.5232e+00 +1.5250e+00 +1.4463e+00 -1.8585e+00 +3.4389e+00 -2.4335e+00 -3.5991e-01 -1.9554e+00 +3.9135e+00 +1.7311e-01 -2.5273e+00 -1.3885e+00 +2.5310e+00 +3.0532e+00 +3.8609e+00 -3.8345e-01 +2.8577e-01 +2.1621e+00
31019 +2.404116071e-02 +2.404116071e-02 -1.691595884e+01 -1.691595884e+01 +3.6802e+00 +2.5017e+00 -1.5054e+00 +1.5145e+00 +1.4651e+00 -1.8876e+00 +3.4228e+00 -2.4179e+00 -3.5811e-01 -1.9589e+00 +3.9173e+00 +1.7497e-01 -2.5322e+00 -1.3932e+00 +2.5113e+00 +3.0498e+00 +3.8500e+00 -3.8301e-01 +2.9618e-01 +2.1511e+00
