  1  2:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1  3:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1  5:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1 10:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1 20:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1 40:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2  2:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2  3:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2  5:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2 10:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2 20:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  2 40:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  3  2:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  3  3:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  3  5:  0 |   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0 
  3 10:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  3 20:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  3 40:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  4  2:  0 |   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0 
  4  3:  0 |   0   0   1   0   0   0   2   0   0   0   0   0   0   0   0 
  4  5:  0 |   0   0   0   0   0   0   0   0   0   0   1   0   3   0   1 
  4 10:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  4 20:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  4 40:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  5  2:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  5  3:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  5  5:  0 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
