% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.611636095e+01 +4.611636095e+01 +1.174663609e+02 +1.174663609e+02 +4.8251e+00 +1.9495e+00 +2.4212e+00 -3.3293e+00 +9.3513e-01 +2.5062e+00 -1.0319e-01 -7.4492e-01 -1.4568e+00 +2.7760e+00
11 +3.766827830e+01 +3.766827830e+01 +1.090182783e+02 +1.090182783e+02 -3.9633e+00 -1.5038e+00 +3.2712e+00 +2.1113e+00 +1.0970e+00 -4.2668e+00 -3.2349e-01 +2.3805e+00 -9.2294e-01 +2.2268e+00
665 +2.469799704e+01 +2.469799704e+01 +9.604799704e+01 +9.604799704e+01 -4.1363e+00 -5.3849e+00 -1.9829e+00 -8.1906e-01 -2.2401e-01 +2.0967e+00 -2.2115e+00 -3.4494e+00 -2.5612e+00 -1.6837e+00
6818 +1.282422881e+01 +1.282422881e+01 +8.417422881e+01 +8.417422881e+01 +4.4443e+00 +3.2473e+00 +1.7147e+00 -2.3582e+00 -1.4482e+00 -5.0117e-02 +1.5568e+00 +5.2536e-01 +1.5715e+00 +3.1775e+00
24466 +5.725003438e+00 +5.725003438e+00 +7.707500344e+01 +7.707500344e+01 +1.2483e+00 +2.8179e+00 -1.0345e+00 -4.2846e+00 +1.4320e+00 -2.2103e+00 -1.0664e+00 +5.8665e-01 +5.3492e+00 -2.3432e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.707035920e+02 +1.707035920e+02 -1.845164080e+02 -1.845164080e+02 -4.4912e+00 -5.5189e-02 -1.1512e+00 -1.7261e+00 -1.1535e+00 +4.2626e+00 +7.8252e-01 -1.4850e+00 +3.4401e+00 -2.7549e+00
2 +6.894151312e+01 +6.894151312e+01 -2.862784869e+02 -2.862784869e+02 -7.9613e-03 -3.0741e+00 -1.7812e-01 +3.6300e+00 +1.2084e+00 -1.7317e+00 +4.4071e+00 -3.3725e+00 -1.7032e+00 -2.8057e-01
5 +6.187995146e+01 +6.187995146e+01 -2.933400485e+02 -2.933400485e+02 +2.6834e+00 -2.3219e+00 +2.9714e+00 +2.5861e-01 -1.1767e+00 +1.2264e+00 +6.4789e-01 +3.1144e+00 -3.3978e+00 -2.7863e+00
64 +3.334636119e+01 +3.334636119e+01 -3.218736388e+02 -3.218736388e+02 +1.9438e+00 -3.7416e+00 -6.7732e-01 +3.5912e+00 -1.8779e+00 +2.5891e-01 -8.1583e-01 +4.3307e+00 -2.4580e+00 +2.5447e+00
