% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.362365518e+02 +1.362365518e+02 +1.192965518e+02 +1.192965518e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +4.113356002e+01 +4.113356002e+01 +2.419356002e+01 +2.419356002e+01 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
6 +1.765811665e+01 +1.765811665e+01 +7.181166531e-01 +7.181166531e-01 -3.1344e+00 +1.5322e+00 -4.9894e+00 -4.5150e+00 +9.2077e-01 +1.1921e+00 +4.5973e+00 +4.3383e+00 -1.7448e-01 +1.9443e+00 +4.1403e+00 -7.6350e-01 +3.5641e+00 +3.2544e+00 -7.8101e-02 +3.4334e+00 +4.3386e-01 +7.1954e-01 -1.2259e+00 +4.9453e+00
144 +1.145197109e+01 +1.145197109e+01 -5.488028914e+00 -5.488028914e+00 +1.8740e+00 +5.4146e-01 -2.7308e+00 -2.4957e+00 +3.0760e+00 +1.9115e+00 +2.7334e+00 -2.7983e+00 -4.7964e+00 -2.9257e-01 +2.4390e+00 -3.4620e+00 -3.9907e+00 -3.2021e+00 -1.3782e+00 +1.7697e+00 +2.2592e+00 +1.0620e+00 +2.1522e+00 +3.2756e+00
1321 +9.960845172e+00 +9.960845172e+00 -6.979154828e+00 -6.979154828e+00 +4.7975e+00 +1.2009e+00 +2.3967e-01 +1.3093e+00 +1.5496e-01 -3.4251e+00 +1.6134e+00 +9.8434e-01 +9.7657e-01 -3.3984e+00 +3.6646e+00 -2.8057e-01 -2.8469e+00 -1.6565e+00 +2.0333e+00 -1.2834e+00 +4.3283e+00 -5.8106e-01 -1.1344e+00 -8.4099e-02
3435 +5.611234315e+00 +5.611234315e+00 -1.132876569e+01 -1.132876569e+01 +4.3157e+00 +3.2752e+00 -1.6732e-01 -1.1384e+00 +2.5802e+00 -5.7007e-01 +2.5671e+00 -1.9854e+00 +5.4257e-01 -3.7406e+00 -1.8776e-02 -1.9752e+00 -1.9887e+00 +7.8257e-01 +8.4446e-01 +3.5026e+00 +4.3131e+00 -1.0217e+00 -1.7650e-01 -1.2769e-02
5476 +3.346105253e+00 +3.346105253e+00 -1.359389475e+01 -1.359389475e+01 +2.6681e+00 +1.8336e+00 -5.4088e-01 +1.6513e-01 +2.1401e+00 -1.6611e+00 +2.7264e+00 -2.7848e+00 +2.1414e-01 -2.9310e+00 +3.2716e+00 +1.1903e+00 -2.0190e+00 -1.7115e+00 +1.8205e+00 +1.4988e+00 +3.6984e+00 +4.1820e-01 +7.8070e-02 +9.1850e-01
6845 +2.360887708e+00 +2.360887708e+00 -1.457911229e+01 -1.457911229e+01 +4.4109e+00 +2.8403e+00 -8.1258e-01 +1.4259e+00 +5.2144e-01 -1.5432e+00 +3.0744e+00 -2.0644e+00 -9.4324e-01 -1.8967e+00 +3.3388e+00 -3.4776e-01 -2.5460e+00 -1.5316e+00 +2.6230e+00 +3.1194e+00 +3.8127e+00 -7.6765e-01 -1.4594e-01 +1.6590e+00
9643 +1.443048383e+00 +1.443048383e+00 -1.549695162e+01 -1.549695162e+01 +3.6937e+00 +2.4169e+00 -1.6508e+00 +1.2986e+00 +1.5348e+00 -2.7654e+00 +3.8498e+00 -1.9571e+00 +3.4283e-01 -2.0414e+00 +3.9360e+00 -2.6278e-01 -3.6613e+00 -1.2397e+00 +2.7638e+00 +2.6957e+00 +3.9846e+00 -9.0413e-01 +3.5299e-01 +2.3349e+00
11388 +9.747074652e-01 +9.747074652e-01 -1.596529253e+01 -1.596529253e+01 +3.3596e+00 +2.7054e+00 -1.5671e+00 +1.2128e+00 +1.1325e+00 -1.6698e+00 +3.6814e+00 -2.4274e+00 -7.8162e-01 -1.7050e+00 +3.9235e+00 -2.8327e-01 -2.6616e+00 -8.3121e-01 +2.6660e+00 +3.3881e+00 +4.0601e+00 -2.9540e-01 +2.6397e-01 +2.1544e+00
