% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.174877810e+05 +3.174877810e+05 +3.175640510e+05 +3.175640510e+05 -3.1890e+00 -5.0410e-01 -4.8470e+00 -2.5517e+00 -1.1201e+00 -2.4648e+00 +2.9783e+00 +2.8324e+00 -5.3732e-01 +5.0233e-01 -4.9626e+00 -2.6933e+00 -4.8160e+00 +3.9805e+00 +2.8569e+00 -4.3769e+00 -3.5494e+00 -3.8623e+00 +2.2072e+00 -3.9758e+00
4 +2.358300837e+04 +2.358300837e+04 +2.365927837e+04 +2.365927837e+04 -3.0471e+00 +8.6081e-01 -2.3179e+00 +3.3693e+00 -4.0450e+00 +1.5358e+00 +5.1815e-01 -1.0576e+00 -9.5998e-01 -2.3168e+00 -3.7772e-01 -3.0601e-01 -4.3951e+00 +4.2745e+00 +1.9064e+00 +4.5179e+00 -1.2471e-01 -3.7639e+00 +1.9575e+00 +3.8748e+00
9 +2.710596926e+02 +2.710596926e+02 +3.473296926e+02 +3.473296926e+02 -2.0184e-01 +2.4258e+00 -4.5819e-01 +1.7523e+00 +4.1331e+00 +3.4616e-01 +1.2596e+00 +9.9205e-01 +1.6052e+00 +2.2454e+00 +5.8296e-01 +4.5795e-02 -3.1558e+00 +4.3533e+00 +4.2941e+00 -1.9558e+00 -4.5521e+00 -9.1694e-01 +3.6850e+00 +4.4797e+00
2356 +2.315768522e+02 +2.315768522e+02 +3.078468522e+02 +3.078468522e+02 +1.6158e+00 +3.9706e+00 -1.7448e+00 +3.5750e+00 +2.9968e+00 +2.6918e+00 -2.3433e+00 +2.3006e+00 +1.7712e+00 +1.4854e-01 -3.5057e+00 +1.8967e+00 -2.3661e+00 +3.5767e+00 -1.7174e-01 -1.4680e+00 -3.4143e+00 -1.2400e+00 +3.8137e+00 -4.9049e+00
5878 +1.547064188e+02 +1.547064188e+02 +2.309764188e+02 +2.309764188e+02 -4.4434e-01 -1.5364e+00 +5.9652e-01 +7.8990e-01 +1.2587e-01 +6.4415e-02 +1.1866e+00 -3.1397e+00 -8.9574e-01 -5.5170e-02 +4.1320e+00 +4.2064e+00 -7.1439e+00 +1.4913e+00 -2.4938e-01 +8.7604e-01 -2.2621e+00 -1.7750e+00 -1.7080e+00 +1.9318e+00
9447 +9.001300758e+01 +9.001300758e+01 +1.662830076e+02 +1.662830076e+02 +2.8272e+00 +1.5612e-01 -3.5422e-02 +9.6932e-01 -2.5537e-01 +4.0766e-01 -3.3797e-02 +3.4773e+00 -4.9384e-01 -2.0135e-02 -7.0528e-02 -7.6240e-01 +7.1776e-01 +2.8043e+00 -1.6745e+00 +1.6955e+00 +7.9171e-01 -3.4448e+00 +1.7839e+00 -4.0045e+00
10205 +6.199630031e+01 +6.199630031e+01 +1.382663003e+02 +1.382663003e+02 -2.9442e+00 -2.6350e+00 -1.9657e-01 +1.9822e+00 -6.1398e-01 +5.3995e-01 -4.7073e-01 +1.1318e+00 -7.9756e-01 +1.5112e+00 +3.1352e+00 -5.9607e-01 -4.4880e+00 +1.9052e+00 -3.7575e+00 -2.0812e+00 -2.7808e+00 -2.6273e+00 +2.5791e+00 +1.2558e+00
10712 +2.909976719e+01 +2.909976719e+01 +1.053697672e+02 +1.053697672e+02 -1.2364e+00 -1.4787e+00 -1.1517e+00 -3.9716e-01 -5.7584e-01 -1.0932e+00 -4.5925e-01 +3.6947e+00 -8.3827e-01 +1.5284e+00 +2.0000e+00 -1.4715e+00 -1.5179e+00 +2.8740e+00 -2.8130e+00 -1.3483e+00 +8.2561e-01 -8.9044e-01 +7.9636e-01 -4.3539e+00
11128 +2.239532814e+01 +2.239532814e+01 +9.866532814e+01 +9.866532814e+01 -4.5627e-01 -2.3950e+00 -1.1098e+00 +3.5251e-01 -1.9314e+00 -9.8250e-02 -9.4860e-02 +2.0927e+00 -1.0696e+00 +1.0159e+00 +3.4919e+00 -1.5703e+00 -2.7158e+00 +1.4177e+00 -3.1042e+00 -1.2781e+00 +7.6707e-01 -1.6408e+00 +1.0760e+00 -2.4389e+00
11804 +1.411264687e+01 +1.411264687e+01 +9.038264687e+01 +9.038264687e+01 -1.4899e+00 -2.9689e+00 -1.0081e+00 +3.9158e-01 -2.1930e+00 -1.0475e+00 -1.3866e-01 +1.5085e+00 -1.1413e+00 +1.4183e+00 +3.2926e+00 -1.8816e+00 -3.0986e+00 +1.9289e+00 -3.4603e+00 -1.4417e+00 +1.3258e+00 -1.3827e+00 +1.0155e+00 -1.2375e+00
12513 +9.831694345e+00 +9.831694345e+00 +8.610169434e+01 +8.610169434e+01 -9.9846e-01 -2.9931e+00 -1.3617e+00 +2.6081e-01 -1.8481e+00 -2.7967e+00 +1.9395e-01 +1.8497e+00 -1.3511e+00 +2.3384e+00 +3.3435e+00 -1.6074e+00 -3.6775e+00 +2.5296e+00 -3.1934e+00 -7.0619e-01 +1.6137e-01 -2.8617e+00 +1.0234e+00 -1.9254e+00
13722 +6.256313264e+00 +6.256313264e+00 +8.252631326e+01 +8.252631326e+01 -8.1493e-01 -2.7266e+00 -7.8614e-01 +2.2182e-01 -1.3725e+00 -2.5563e+00 -2.2515e-01 +1.7368e+00 -1.2598e+00 +2.1128e+00 +3.4776e+00 -1.8191e+00 -3.1192e+00 +2.8874e+00 -3.3370e+00 -1.6252e+00 +5.7367e-01 -2.8708e+00 +9.8075e-01 -1.7376e+00
15206 +3.811292143e+00 +3.811292143e+00 +8.008129214e+01 +8.008129214e+01 -8.4357e-01 -2.7950e+00 -1.3715e+00 +2.0076e-01 -1.7628e+00 -2.3921e+00 -8.7578e-01 +1.6768e+00 -1.8465e+00 +1.9158e+00 +2.8878e+00 -1.9120e+00 -3.2072e+00 +3.0250e+00 -2.4885e+00 -9.1575e-01 +8.2874e-01 -2.8048e+00 +1.0143e+00 -1.9621e+00
18011 +2.509907411e+00 +2.509907411e+00 +7.877990741e+01 +7.877990741e+01 -1.0401e+00 -2.8624e+00 -1.2926e+00 -3.9497e-02 -1.4060e+00 -2.5897e+00 -1.0583e+00 +1.4541e+00 -1.6890e+00 +2.2091e+00 +2.6321e+00 -2.0523e+00 -3.0811e+00 +3.3421e+00 -2.5060e+00 -1.4391e+00 +1.0462e+00 -2.6925e+00 +8.6563e-01 -2.3434e+00
22413 +1.570322940e+00 +1.570322940e+00 +7.784032294e+01 +7.784032294e+01 -1.2408e+00 -2.7077e+00 -1.2402e+00 +2.8175e-01 -1.4057e+00 -2.2707e+00 -6.8775e-01 +1.1558e+00 -1.0886e+00 +2.4278e+00 +2.8088e+00 -2.0745e+00 -2.8999e+00 +3.1484e+00 -2.4383e+00 -1.7306e+00 +1.1096e+00 -2.8707e+00 +7.8487e-01 -2.5108e+00
26607 +9.920148028e-01 +9.920148028e-01 +7.726201480e+01 +7.726201480e+01 -9.5491e-01 -2.9331e+00 -1.4706e+00 +4.7963e-01 -1.3796e+00 -2.1794e+00 -6.3539e-01 +1.2608e+00 -9.9525e-01 +2.7054e+00 +2.5350e+00 -2.2001e+00 -3.1505e+00 +3.1543e+00 -2.2250e+00 -1.5599e+00 +1.0921e+00 -2.8187e+00 +7.7826e-01 -2.3319e+00
28187 +5.995809839e-01 +5.995809839e-01 +7.686958098e+01 +7.686958098e+01 -1.0105e+00 -3.0833e+00 -1.3500e+00 +8.5268e-01 -1.6010e+00 -2.2439e+00 -6.1633e-01 +1.3369e+00 -9.0889e-01 +2.9568e+00 +2.4455e+00 -2.2874e+00 -2.9530e+00 +3.2702e+00 -2.3499e+00 -1.4369e+00 +1.0791e+00 -2.9817e+00 +7.5049e-01 -1.9863e+00
30125 +3.846964628e-01 +3.846964628e-01 +7.665469646e+01 +7.665469646e+01 -1.0570e+00 -3.0379e+00 -1.3105e+00 +7.4735e-01 -1.5219e+00 -2.2322e+00 -6.9267e-01 +1.2759e+00 -9.2864e-01 +2.8002e+00 +2.5725e+00 -2.3717e+00 -2.8653e+00 +3.2519e+00 -2.2026e+00 -1.4558e+00 +1.3329e+00 -3.1701e+00 +7.4360e-01 -1.9958e+00
40501 +2.508231295e-01 +2.508231295e-01 +7.652082313e+01 +7.652082313e+01 -9.2770e-01 -3.1292e+00 -1.2692e+00 +7.2085e-01 -1.6227e+00 -2.1848e+00 -7.2009e-01 +1.2738e+00 -1.1405e+00 +2.7812e+00 +2.6076e+00 -2.4705e+00 -2.6803e+00 +3.3202e+00 -2.1478e+00 -1.5643e+00 +1.3572e+00 -3.2101e+00 +7.3140e-01 -2.0933e+00
43627 +1.558489112e-01 +1.558489112e-01 +7.642584891e+01 +7.642584891e+01 -9.6671e-01 -3.0109e+00 -1.3112e+00 +6.3155e-01 -1.6779e+00 -2.2796e+00 -5.7081e-01 +1.2774e+00 -1.0957e+00 +2.8565e+00 +2.4566e+00 -2.4799e+00 -2.6220e+00 +3.3519e+00 -2.1294e+00 -1.6007e+00 +1.4004e+00 -3.2329e+00 +6.3825e-01 -2.0249e+00
46937 +9.840350737e-02 +9.840350737e-02 +7.636840351e+01 +7.636840351e+01 -8.9555e-01 -3.0367e+00 -1.2412e+00 +6.1527e-01 -1.7778e+00 -2.2330e+00 -5.8533e-01 +1.3452e+00 -1.0665e+00 +2.8160e+00 +2.4684e+00 -2.3871e+00 -2.6451e+00 +3.3495e+00 -2.0807e+00 -1.5595e+00 +1.4046e+00 -3.2171e+00 +5.8408e-01 -2.0525e+00
51204 +6.282532601e-02 +6.282532601e-02 +7.633282533e+01 +7.633282533e+01 -9.2301e-01 -3.0180e+00 -1.2355e+00 +5.5225e-01 -1.8049e+00 -2.2419e+00 -6.7543e-01 +1.2760e+00 -9.8736e-01 +2.7981e+00 +2.4068e+00 -2.3633e+00 -2.6824e+00 +3.3642e+00 -2.0530e+00 -1.6007e+00 +1.4133e+00 -3.2353e+00 +5.2412e-01 -2.0756e+00
53289 +3.976248775e-02 +3.976248775e-02 +7.630976249e+01 +7.630976249e+01 -9.4699e-01 -3.0366e+00 -1.2285e+00 +5.8308e-01 -1.7754e+00 -2.2579e+00 -6.0465e-01 +1.3135e+00 -9.5065e-01 +2.7814e+00 +2.3775e+00 -2.3419e+00 -2.6904e+00 +3.3792e+00 -2.0656e+00 -1.6126e+00 +1.3718e+00 -3.2063e+00 +4.8610e-01 -2.0511e+00
56200 +2.500940757e-02 +2.500940757e-02 +7.629500941e+01 +7.629500941e+01 -9.4268e-01 -3.0648e+00 -1.2611e+00 +5.7586e-01 -1.7641e+00 -2.2220e+00 -6.0830e-01 +1.3383e+00 -9.4900e-01 +2.8063e+00 +2.3732e+00 -2.3367e+00 -2.7072e+00 +3.3432e+00 -2.0799e+00 -1.6016e+00 +1.2806e+00 -3.2053e+00 +4.4026e-01 -2.0685e+00
59801 +1.546849319e-02 +1.546849319e-02 +7.628546849e+01 +7.628546849e+01 -9.6312e-01 -3.0614e+00 -1.2793e+00 +5.7881e-01 -1.7660e+00 -2.2174e+00 -6.7381e-01 +1.3105e+00 -9.8586e-01 +2.7714e+00 +2.3758e+00 -2.3363e+00 -2.6825e+00 +3.3269e+00 -2.0738e+00 -1.6222e+00 +1.2669e+00 -3.1818e+00 +4.4161e-01 -2.0907e+00
62926 +9.834309129e-03 +9.834309129e-03 +7.627983431e+01 +7.627983431e+01 -9.7227e-01 -3.0811e+00 -1.2693e+00 +5.4971e-01 -1.7602e+00 -2.2248e+00 -6.6974e-01 +1.3049e+00 -9.9712e-01 +2.7647e+00 +2.3548e+00 -2.3490e+00 -2.6769e+00 +3.3295e+00 -2.0739e+00 -1.6197e+00 +1.2658e+00 -3.1769e+00 +4.4954e-01 -2.0582e+00
65005 +6.200413250e-03 +6.200413250e-03 +7.627620041e+01 +7.627620041e+01 -9.5856e-01 -3.1123e+00 -1.2776e+00 +5.3882e-01 -1.7529e+00 -2.2249e+00 -6.5662e-01 +1.2947e+00 -1.0001e+00 +2.7464e+00 +2.3533e+00 -2.3804e+00 -2.6770e+00 +3.3356e+00 -2.0590e+00 -1.6289e+00 +1.2585e+00 -3.1855e+00 +4.3222e-01 -2.0441e+00
66205 +3.847029084e-03 +3.847029084e-03 +7.627384703e+01 +7.627384703e+01 -9.5536e-01 -3.1256e+00 -1.2605e+00 +5.3104e-01 -1.7370e+00 -2.2274e+00 -6.6677e-01 +1.2921e+00 -9.9722e-01 +2.7531e+00 +2.3467e+00 -2.3824e+00 -2.6657e+00 +3.3423e+00 -2.0548e+00 -1.6346e+00 +1.2656e+00 -3.1892e+00 +4.3451e-01 -2.0442e+00
68327 +2.448077033e-03 +2.448077033e-03 +7.627244808e+01 +7.627244808e+01 -9.5358e-01 -3.1451e+00 -1.2617e+00 +5.4922e-01 -1.7423e+00 -2.2338e+00 -6.7461e-01 +1.2981e+00 -1.0171e+00 +2.7620e+00 +2.3488e+00 -2.3723e+00 -2.6687e+00 +3.3324e+00 -2.0598e+00 -1.6298e+00 +1.2759e+00 -3.2043e+00 +4.3662e-01 -2.0544e+00
73526 +1.576421037e-03 +1.576421037e-03 +7.627157642e+01 +7.627157642e+01 -9.4899e-01 -3.1450e+00 -1.2552e+00 +5.5490e-01 -1.7479e+00 -2.2362e+00 -6.6779e-01 +1.2980e+00 -1.0059e+00 +2.7713e+00 +2.3489e+00 -2.3708e+00 -2.6598e+00 +3.3329e+00 -2.0611e+00 -1.6421e+00 +1.2693e+00 -3.2005e+00 +4.3146e-01 -2.0509e+00
76216 +9.875541946e-04 +9.875541946e-04 +7.627098755e+01 +7.627098755e+01 -9.4417e-01 -3.1473e+00 -1.2519e+00 +5.5870e-01 -1.7492e+00 -2.2352e+00 -6.6708e-01 +1.2915e+00 -1.0070e+00 +2.7654e+00 +2.3586e+00 -2.3773e+00 -2.6557e+00 +3.3304e+00 -2.0711e+00 -1.6501e+00 +1.2612e+00 -3.2040e+00 +4.3214e-01 -2.0412e+00
80305 +6.299446723e-04 +6.299446723e-04 +7.627062994e+01 +7.627062994e+01 -9.4384e-01 -3.1549e+00 -1.2474e+00 +5.5909e-01 -1.7504e+00 -2.2350e+00 -6.6565e-01 +1.2867e+00 -1.0073e+00 +2.7589e+00 +2.3510e+00 -2.3681e+00 -2.6582e+00 +3.3276e+00 -2.0713e+00 -1.6503e+00 +1.2640e+00 -3.2041e+00 +4.2792e-01 -2.0458e+00
83928 +3.952795814e-04 +3.952795814e-04 +7.627039528e+01 +7.627039528e+01 -9.3998e-01 -3.1503e+00 -1.2466e+00 +5.5430e-01 -1.7483e+00 -2.2294e+00 -6.6531e-01 +1.2896e+00 -1.0111e+00 +2.7569e+00 +2.3546e+00 -2.3663e+00 -2.6622e+00 +3.3280e+00 -2.0749e+00 -1.6498e+00 +1.2639e+00 -3.2019e+00 +4.2585e-01 -2.0446e+00
85505 +2.447465677e-04 +2.447465677e-04 +7.627024475e+01 +7.627024475e+01 -9.3518e-01 -3.1535e+00 -1.2451e+00 +5.5539e-01 -1.7518e+00 -2.2266e+00 -6.5939e-01 +1.2875e+00 -1.0106e+00 +2.7614e+00 +2.3534e+00 -2.3631e+00 -2.6670e+00 +3.3248e+00 -2.0815e+00 -1.6452e+00 +1.2690e+00 -3.1985e+00 +4.2404e-01 -2.0427e+00
