% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.052157882e+09 +1.052157882e+09 +1.052157261e+09 +1.052157261e+09 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
3 +8.432266021e+08 +8.432266021e+08 +8.432259810e+08 +8.432259810e+08 -4.7257e+00 -3.3348e+00 -3.6585e+00 -2.5308e+00 -4.8896e+00 +3.1732e-01 -3.4667e+00 +6.8246e-01 -6.9552e-01 -3.3823e+00 -2.5413e+00 +2.1374e-02 -5.8656e-01 +5.2793e-01 -3.3948e-01 -4.6054e+00 +4.5124e+00 +1.0595e+00 +4.9704e-01 -1.9615e+00
14 +3.664877025e+08 +3.664877025e+08 +3.664870813e+08 +3.664870813e+08 -3.9515e+00 +1.4018e+00 +2.3562e+00 -3.4861e+00 +2.2691e+00 +2.5774e-02 +3.3561e+00 -6.7407e-01 +1.6251e+00 -2.6261e+00 +4.3560e-01 -2.6716e+00 +3.3094e+00 +1.3202e+00 +1.9419e+00 -3.8074e+00 +2.8373e+00 -4.9182e+00 +4.9668e+00 -1.6128e+00
94 +2.316474235e+08 +2.316474235e+08 +2.316468023e+08 +2.316468023e+08 +8.5567e-02 +2.0283e+00 -1.5369e+00 -4.5679e+00 +1.7245e+00 -1.0333e+00 -2.6276e+00 +1.4438e-01 +1.8304e+00 +3.5413e+00 +5.6401e-01 +2.9930e+00 -3.9202e+00 +3.5148e+00 +4.7790e+00 -2.7300e+00 +3.4265e+00 -5.6578e-01 -4.9987e+00 -1.7358e+00
629 +1.572499118e+08 +1.572499118e+08 +1.572492907e+08 +1.572492907e+08 -2.5584e+00 +1.9958e+00 -5.6516e-01 -1.6116e+00 +1.9317e+00 -3.2008e+00 -1.2765e+00 -1.2510e+00 +1.7297e+00 -5.7919e-01 +7.1555e+00 +2.8736e+00 +4.9951e+00 +2.1263e+00 -1.1605e+00 -7.2877e+00 +1.5296e+00 +4.0998e+00 -1.8641e-01 +1.7055e+00
1464 +5.841643905e+07 +5.841643905e+07 +5.841581794e+07 +5.841581794e+07 -1.8986e+00 +6.7145e+00 +1.8461e+00 -1.3667e+00 -2.4369e-01 +1.2507e-01 +2.6338e-01 +3.2214e-01 +3.9700e-03 -1.2123e+00 +2.0650e+00 +2.0317e+00 +9.9536e-01 +4.5305e-01 +2.1671e+00 -1.3102e+00 -1.0593e+00 +1.6219e+00 +4.3182e-01 +2.7381e+00
3642 +3.047829660e+07 +3.047829660e+07 +3.047767549e+07 +3.047767549e+07 +1.5701e-01 +6.6737e+00 +2.7746e+00 -4.0841e+00 -4.0882e-02 -7.9595e-01 +2.6982e+00 +7.3481e-01 +7.3565e-02 -3.5154e-01 +1.4425e+00 +4.1965e+00 +4.9685e+00 +8.3855e-01 +8.8248e-01 -3.8644e+00 -1.7468e+00 +3.7275e+00 +2.1308e+00 +1.1488e-01
4280 +2.303552505e+07 +2.303552505e+07 +2.303490394e+07 +2.303490394e+07 -5.0039e-01 +2.7225e+00 -5.0419e-01 -5.3948e+00 -8.9485e-02 -1.3743e+00 +2.4827e+00 -5.9352e-01 +2.6306e+00 +1.6399e-01 -4.2600e-01 +1.3861e+00 +2.3879e+00 +2.6589e+00 +3.7119e+00 -3.0357e+00 +2.5164e+00 +9.8697e-01 -8.6038e-01 +5.9494e-01
4563 +1.242163016e+07 +1.242163016e+07 +1.242100905e+07 +1.242100905e+07 -2.8358e-01 +3.5511e+00 +1.8704e-01 -4.1601e+00 +8.4919e-01 -2.8812e+00 -3.3299e-01 +1.0355e+00 +1.8339e+00 +2.2855e-01 +5.9761e-01 +3.4305e+00 +4.8273e+00 +6.0725e-01 +2.6185e+00 -3.0970e+00 +6.4501e-01 +1.9736e+00 +4.4007e-01 -1.5820e-01
5484 +8.377712825e+06 +8.377712825e+06 +8.377091715e+06 +8.377091715e+06 -2.6521e-01 +4.2936e+00 +1.2394e+00 -4.1869e+00 -6.0214e-01 -2.0899e+00 +1.9309e+00 -7.8890e-01 +8.5688e-01 -8.9973e-01 +1.3363e+00 +3.0984e+00 +3.8992e+00 +1.9261e+00 +1.4538e+00 -3.5753e+00 +1.6999e+00 +7.7672e-01 -1.0018e-01 +1.2753e-01
