% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.553511567e+01 +8.553511567e+01 +1.263151157e+02 +1.263151157e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2762 +6.196892508e+01 +6.196892508e+01 +1.027489251e+02 +1.027489251e+02 -1.2597e+00 +2.8012e+00 -1.2181e+00 +1.5702e+00 -3.7091e+00 +3.7696e+00 -1.2702e+00 -4.0134e+00 +3.1870e+00 +2.5061e+00 -3.7705e-01 +3.2236e+00 -9.4948e-01 -1.6571e+00 +4.5176e-01 -7.1905e-01 -1.6331e-01 +3.4060e-01 -5.7612e-01 -4.0040e+00
3670 +3.857451635e+01 +3.857451635e+01 +7.935451635e+01 +7.935451635e+01 +3.5424e+00 +4.6158e-01 -7.6562e-01 -1.3864e+00 -5.1306e+00 +5.3534e-01 -2.8921e+00 -2.0146e+00 -8.4456e-01 -2.7101e+00 +4.3121e+00 -9.9048e-01 -1.3608e+00 -3.2104e+00 -2.6251e+00 -2.9269e+00 +9.4724e-01 -8.4025e-01 -1.7066e+00 -3.0708e+00
4938 +2.406644685e+01 +2.406644685e+01 +6.484644685e+01 +6.484644685e+01 +1.0274e+00 -2.3415e+00 -2.1942e+00 +7.0046e-02 -5.2389e+00 +3.3207e-01 -5.4915e+00 -1.9829e+00 -9.2764e-01 -4.9843e+00 +4.1001e+00 -1.5314e+00 -1.9788e+00 -2.8484e+00 -2.4042e+00 -4.6784e+00 +2.6906e+00 -8.4764e-01 -1.2742e+00 -3.2475e+00
5803 +1.572986019e+01 +1.572986019e+01 +5.650986019e+01 +5.650986019e+01 +2.2168e+00 -1.5407e+00 -1.1896e+00 -1.5174e+00 -4.7421e+00 +1.0299e+00 -5.2890e+00 -1.6825e+00 -8.1918e-01 -3.3527e+00 +3.7688e+00 -2.2732e+00 -3.2438e+00 -1.8370e+00 -1.5531e+00 -4.2300e+00 +9.1851e-01 -4.9588e-01 -7.9797e-01 -3.7827e+00
6675 +9.456567861e+00 +9.456567861e+00 +5.023656786e+01 +5.023656786e+01 -2.6286e-02 -2.3139e+00 -2.7022e+00 -1.7801e+00 -4.0145e+00 +1.4220e-01 -4.9538e+00 -3.2886e+00 -1.8309e+00 -3.8570e+00 +4.1115e+00 -1.5452e+00 -1.7197e+00 -1.7068e+00 -1.3598e+00 -4.1067e+00 +1.0335e+00 -1.7606e+00 -1.5151e+00 -3.4113e+00
7615 +6.035102003e+00 +6.035102003e+00 +4.681510200e+01 +4.681510200e+01 +1.6092e+00 -2.9014e+00 -3.0583e+00 -1.7378e+00 -4.4867e+00 -2.1849e-01 -4.4016e+00 -4.0374e+00 -1.0484e+00 -4.3016e+00 +4.4070e+00 -2.1384e+00 -1.4093e+00 -1.4179e+00 -1.8368e+00 -4.5683e+00 -1.5260e-01 -8.2527e-01 -4.9208e-01 -2.1565e+00
9343 +3.744551696e+00 +3.744551696e+00 +4.452455170e+01 +4.452455170e+01 +1.5619e+00 -2.5148e+00 -2.3902e+00 -1.2355e+00 -4.5613e+00 -4.1396e-01 -3.9925e+00 -2.8163e+00 -1.1797e+00 -3.9780e+00 +4.2732e+00 -1.6122e+00 -1.8173e+00 -1.4305e+00 -1.8174e+00 -4.2393e+00 +8.2044e-01 -1.1237e+00 -5.1395e-02 -2.5834e+00
14568 +2.506937105e+00 +2.506937105e+00 +4.328693711e+01 +4.328693711e+01 +1.5424e+00 -2.6730e+00 -2.1920e+00 -1.4940e+00 -4.3224e+00 -2.8195e-01 -4.2018e+00 -3.2513e+00 -8.2445e-01 -4.0640e+00 +4.2224e+00 -1.5938e+00 -1.7457e+00 -1.4575e+00 -1.4076e+00 -4.0044e+00 +6.4306e-01 -1.3496e+00 -4.3973e-01 -2.4455e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
