% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.075922165e+02 +1.075922165e+02 +9.065221646e+01 +9.065221646e+01 +4.4077e-01 -3.7589e+00 -8.9763e-01 +8.1227e-02 -1.2760e+00 +1.1665e+00 -1.3515e+00 +3.8480e+00 +2.0814e-01 -3.7055e+00 +1.7487e+00 -1.3279e-01 +8.0769e-01 -1.8106e+00 -1.4537e+00 +3.2154e+00 -1.7474e+00 +3.1504e+00 -2.0319e+00 -2.0039e+00
36 +9.172645615e+01 +9.172645615e+01 +7.478645615e+01 +7.478645615e+01 -2.2165e+00 -5.6754e+00 -1.6999e+00 -1.7782e+00 -3.2287e+00 -2.2541e+00 +4.0978e+00 +3.8294e-01 -7.7821e-01 -1.1518e+00 +2.5257e+00 +1.3983e+00 +2.4398e+00 -1.4624e+00 +2.9039e+00 +1.3999e+00 +3.8837e+00 +2.1944e+00 -3.5967e-01 -1.0412e+00
95 +5.994489381e+01 +5.994489381e+01 +4.300489381e+01 +4.300489381e+01 -7.3354e-01 -3.9158e+00 -3.3770e+00 -6.6247e-01 +6.7956e-02 -1.6871e+00 +2.4070e+00 -2.5932e+00 -9.7204e-02 +9.1037e-03 +3.7456e+00 +2.9903e-01 +2.9142e+00 -2.7254e-01 -9.7590e-01 +5.8248e+00 +2.8887e+00 +1.9689e+00 -1.9438e+00 -1.3848e+00
205 +3.141834633e+01 +3.141834633e+01 +1.447834633e+01 +1.447834633e+01 -2.4027e+00 -7.3343e-01 -2.6735e+00 -2.5862e+00 +2.1297e+00 -3.4269e-01 +1.3576e+00 +6.6195e-01 -6.8163e-01 -3.0621e+00 +2.2604e+00 -1.6368e+00 +2.7292e-01 -7.9753e-01 +4.2716e-01 +3.2745e+00 +2.8214e+00 +3.3359e-01 -1.2170e-01 -3.3981e+00
418 +2.460086400e+01 +2.460086400e+01 +7.660863996e+00 +7.660863996e+00 -2.4251e+00 +3.3882e+00 -3.2163e+00 +2.2161e+00 +2.7737e+00 -1.3832e+00 +2.9761e-01 +4.7449e-01 -3.9199e-01 -3.6110e+00 +3.5726e+00 +2.0946e+00 -1.8385e-01 +1.0369e+00 +2.9619e-01 +1.9453e+00 +3.6576e+00 -5.0400e-02 -3.3753e-01 +9.8561e-01
674 +1.440406579e+01 +1.440406579e+01 -2.535934209e+00 -2.535934209e+00 +9.5803e-01 +1.0507e+00 -1.5557e+00 +1.8342e+00 +3.3489e+00 -3.1695e+00 +2.7587e+00 -6.9729e-01 +7.0222e-03 -4.2696e+00 +3.7674e+00 -2.5275e+00 +6.7752e-01 -1.8755e-01 +3.0783e+00 +2.6142e+00 +3.5672e+00 -1.1672e+00 -5.2033e-01 +2.3204e+00
927 +9.984075626e+00 +9.984075626e+00 -6.955924374e+00 -6.955924374e+00 +8.6802e-01 +1.4416e+00 -1.1073e+00 +9.5655e-01 +3.6502e+00 -1.7775e+00 +9.9849e-01 +1.6113e-01 -2.8086e-02 -3.1129e+00 +4.1025e+00 -1.8729e+00 -8.2677e-02 +5.7818e-01 +3.6148e+00 +3.8934e+00 +4.4577e+00 -1.6031e+00 -7.8219e-01 +2.5734e+00
1049 +6.209217138e+00 +6.209217138e+00 -1.073078286e+01 -1.073078286e+01 +1.6038e+00 +1.5117e+00 -1.6402e+00 +1.2190e+00 +2.4805e+00 -1.1426e+00 +2.3761e+00 +1.8243e-01 -5.0846e-01 -2.3773e+00 +4.2287e+00 -2.1542e+00 -9.9442e-01 +7.8453e-02 +3.9411e+00 +3.5816e+00 +4.3669e+00 -1.6791e+00 -1.7807e-01 +3.0413e+00
1451 +3.300676078e+00 +3.300676078e+00 -1.363932392e+01 -1.363932392e+01 +1.7169e+00 +1.5560e+00 -2.2305e+00 +1.6272e+00 +2.1952e+00 -1.5014e+00 +2.3441e+00 -7.1642e-01 -1.7159e+00 -2.3168e+00 +4.2869e+00 -2.2980e+00 -9.3059e-01 -2.8921e-01 +3.6739e+00 +3.4149e+00 +4.4064e+00 -1.2400e+00 -4.2048e-01 +2.7709e+00
1804 +2.385727214e+00 +2.385727214e+00 -1.455427279e+01 -1.455427279e+01 +1.5185e+00 +1.4737e+00 -1.9866e+00 +1.5202e+00 +2.4318e+00 -1.7516e+00 +2.3710e+00 -7.1274e-01 -1.5796e+00 -2.4430e+00 +4.1415e+00 -2.2682e+00 -8.9201e-01 -2.8361e-01 +3.6011e+00 +3.2706e+00 +4.3118e+00 -9.9327e-01 -2.8946e-01 +2.5881e+00
