% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.920637572e+03 +6.920637572e+03 +6.458547572e+03 +6.458547572e+03 +2.7412e+00 -3.7482e+00 +2.1432e+00 +7.4028e-01 -1.9840e+00 -3.6238e+00 -5.7465e-01 +1.5770e-01 +7.2443e-01 -1.1770e+00 +7.1933e-02 +1.5596e+00 -2.5674e+00 -2.6055e+00 -9.1971e-01 +3.3616e+00 +3.3011e+00 +7.6760e-01 +1.6673e+00 +2.2028e+00
3 +5.169637844e+03 +5.169637844e+03 +4.707547844e+03 +4.707547844e+03 +1.2106e+00 -2.3886e+00 +1.2985e+00 -1.3585e+00 -2.1043e+00 -2.0418e+00 +3.9444e-01 -7.9675e-01 +2.9244e+00 -1.8462e+00 -3.8328e-01 +7.2402e-01 -4.2757e+00 -3.5626e+00 -4.3257e-01 +3.8876e+00 +2.4912e+00 -3.8212e+00 +3.4474e-01 +2.8832e+00
4 +3.678348083e+03 +3.678348083e+03 +3.216258083e+03 +3.216258083e+03 +3.9330e+00 -2.1875e+00 +5.3028e+00 +1.4517e+00 +1.0855e+00 -1.5840e+00 +4.2913e-01 -3.4418e+00 -2.7551e+00 -2.5583e+00 -3.0054e+00 +2.4018e+00 +4.0744e-01 -6.6227e+00 -4.1946e-01 +3.1591e+00 +1.2874e+00 +6.4584e+00 +3.3342e-01 +1.5642e+00
5 +2.276300704e+03 +2.276300704e+03 +1.814210704e+03 +1.814210704e+03 +2.0609e+00 -3.2497e+00 -1.1785e+00 -7.4831e-01 -1.5247e+00 -2.7456e+00 -2.4018e+00 +1.4287e+00 +6.3011e-01 -4.5028e+00 +4.9450e-01 +1.2971e+00 -1.5020e+00 -4.4164e+00 +1.1578e+00 +2.6432e+00 +1.6743e+00 +4.0482e-01 +9.8512e-01 +1.3433e+00
55 +1.515835102e+03 +1.515835102e+03 +1.053745102e+03 +1.053745102e+03 +3.2796e+00 -4.8890e+00 +2.3273e+00 +3.6169e+00 +5.4993e-01 -4.3025e+00 -1.8641e-01 -1.8135e+00 -3.0908e+00 -2.1264e+00 +2.6012e-01 +2.7351e-01 -4.3221e+00 -6.6662e+00 -1.3402e+00 +8.6013e-01 +7.4217e-01 +2.1506e+00 -1.5155e+00 +3.9389e+00
72 +9.437993854e+02 +9.437993854e+02 +4.817093854e+02 +4.817093854e+02 +1.2272e+00 -5.5378e+00 +2.1789e+00 +4.2686e+00 -2.7977e+00 -5.4602e+00 -1.2440e+00 -1.1643e+00 -1.9915e+00 -1.7200e+00 +2.4929e+00 -1.9561e+00 -2.9712e+00 -5.2875e+00 -1.4383e+00 +1.1075e+00 +3.8253e-01 +6.2838e-01 +2.0899e+00 +4.1600e+00
169 +5.893906402e+02 +5.893906402e+02 +1.273006402e+02 +1.273006402e+02 +1.4589e+00 -5.4909e+00 +1.7957e+00 +3.6507e+00 +1.3925e+00 -1.9434e+00 +3.7102e-01 -9.8271e-02 -1.2429e+00 -9.1300e-01 -1.7564e+00 -4.2507e+00 -2.6067e+00 -3.9780e+00 -2.2881e+00 -4.6908e+00 +1.8452e-01 +1.9490e+00 +1.8286e+00 +1.0015e+00
323 +3.952774924e+02 +3.952774924e+02 -6.681250755e+01 -6.681250755e+01 -2.4717e+00 -7.6917e-01 +7.0454e-01 +1.8131e+00 -8.4796e-02 -2.2737e+00 -1.4524e-01 +1.0524e+00 +1.1131e+00 +6.1485e-01 -8.0215e-01 -2.5594e+00 -1.8102e+00 -3.8215e+00 -1.1187e-01 -2.9671e+00 -1.8937e-01 +2.3665e+00 +1.5919e+00 +8.3926e-01
497 +2.435633473e+02 +2.435633473e+02 -2.185266527e+02 -2.185266527e+02 -8.3375e-01 -6.8753e-01 -1.2198e+00 +7.4571e-01 -3.7537e-01 +1.2698e+00 -2.2222e-01 +1.0435e+00 +1.4016e+00 -3.4610e-01 +1.9388e+00 -2.0411e+00 -7.8024e-01 -2.5640e+00 +1.2434e+00 -3.8935e+00 +3.6850e-01 +3.2995e+00 +2.3816e+00 +1.7519e+00
1387 +1.575294668e+02 +1.575294668e+02 -3.045605332e+02 -3.045605332e+02 +3.4882e-01 +1.3781e+00 +5.3640e-01 +2.3949e+00 +2.0641e+00 +1.3350e+00 +1.2164e+00 +1.3287e+00 +1.1553e+00 +3.1996e-01 +1.2457e+00 -2.1587e+00 +4.4277e-02 -1.7515e+00 +7.8029e-01 -3.9645e+00 +1.3017e-01 +3.5548e+00 +2.8156e+00 +2.4787e+00
1619 +7.903719512e+01 +7.903719512e+01 -3.830528049e+02 -3.830528049e+02 +3.9134e-01 +1.3526e+00 +5.5930e-01 +2.5000e+00 +2.2116e+00 +1.4415e+00 +1.2587e+00 +1.3848e+00 +1.0889e+00 +5.3012e-02 +1.2440e+00 -2.1890e+00 +1.2175e-01 -1.6098e+00 +5.1930e-01 -4.0065e+00 -3.1398e-02 +3.2679e+00 +2.4792e+00 +2.1732e+00
2039 +6.309074796e+01 +6.309074796e+01 -3.989992520e+02 -3.989992520e+02 +4.3454e-01 +1.3379e+00 +5.3697e-01 +2.4960e+00 +2.2618e+00 +1.4035e+00 +1.2365e+00 +1.3710e+00 +1.1406e+00 +5.1587e-02 +1.2594e+00 -2.0930e+00 +1.1279e-01 -1.6878e+00 +4.8240e-01 -3.9175e+00 -4.6063e-02 +3.3385e+00 +2.5167e+00 +2.1220e+00
46979 +3.890236468e+01 +3.890236468e+01 -4.231876353e+02 -4.231876353e+02 +1.3530e+00 +2.3780e+00 +5.7973e-01 -1.9206e+00 +2.2257e+00 +1.3362e+00 +1.8298e+00 +1.9170e+00 +6.5591e-01 +3.9252e-02 +2.1917e+00 -4.2914e+00 -3.8951e-01 -3.4093e+00 +9.4210e-01 -4.3255e+00 -1.9239e-02 +3.2727e+00 +2.8133e+00 +1.8051e+00
250849 +2.503698554e+01 +2.503698554e+01 -4.370530145e+02 -4.370530145e+02 +2.3161e+00 +2.3323e+00 +1.3135e+00 +6.8951e-01 +2.2917e+00 +1.3662e+00 +1.7990e+00 +1.9069e+00 +1.1371e+00 +1.1508e+00 +2.1678e+00 -4.2889e+00 -3.4354e-01 -2.4992e+00 +9.8451e-01 -3.9335e+00 -3.0577e-02 +3.6354e+00 +2.8224e+00 +1.1305e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
