% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.388974100e+07 +1.388974100e+07 +1.388953112e+07 +1.388953112e+07 -2.7704e+00 -1.5325e+00 +1.2337e+00 +3.1844e+00 +2.4895e+00 -2.5740e+00 +3.8158e+00 +3.4603e+00 -1.0476e+00 -5.5153e-01 +4.1463e+00 +2.5737e+00 -2.7396e+00 +1.5890e+00 +2.8847e+00 -3.4085e+00 +2.8923e-01 -2.7298e+00 +7.3385e-01 +2.3847e+00
8 +7.228070564e+06 +7.228070564e+06 +7.227860684e+06 +7.227860684e+06 +1.8668e+00 -2.4789e+00 +1.1036e+00 -3.0915e+00 -2.1764e+00 -7.9672e-01 -9.1594e-01 -1.5408e+00 +4.7046e+00 +3.7404e+00 -1.8508e+00 -3.4940e+00 -8.9194e-01 -3.8117e+00 -9.0508e-01 -4.9388e+00 +3.3055e-01 -3.3662e-01 -4.6108e+00 +1.0814e+00
26 +5.940003484e+06 +5.940003484e+06 +5.939793604e+06 +5.939793604e+06 -3.1260e+00 -1.3242e+00 +8.6319e-01 -7.1776e-01 -2.3421e+00 +3.9922e+00 -1.0271e+00 -7.7372e-01 -1.6958e+00 +6.8530e-01 -4.0460e+00 -4.6146e+00 -3.5196e-01 +2.4442e+00 -2.7663e+00 +1.2900e+00 -2.6076e+00 +4.5944e+00 -2.0950e-01 +8.8404e-01
37 +3.377816879e+06 +3.377816879e+06 +3.377606999e+06 +3.377606999e+06 -3.2864e+00 -4.2238e-01 -3.7554e+00 -2.9576e+00 +1.7961e-01 -2.0659e+00 -3.4405e+00 -4.7923e+00 +4.3916e+00 -3.8820e+00 -1.1692e+00 +3.6515e+00 +1.0510e+00 +2.0797e+00 +2.1645e+00 -8.7088e-01 -2.3339e+00 +1.7722e+00 -5.3841e-01 +1.2982e+00
106 +1.191864167e+06 +1.191864167e+06 +1.191654287e+06 +1.191654287e+06 +1.4763e+00 -4.8405e+00 +2.8137e+00 +2.5730e+00 -2.6859e+00 -2.8889e+00 +2.0751e+00 +2.2915e+00 +2.4556e+00 -7.4894e-01 -2.1037e-01 -3.7250e+00 +7.2041e+00 +8.0405e-01 -2.7211e+00 -5.3265e-01 -2.7782e+00 +3.7589e+00 -1.7727e+00 +1.6950e+00
219 +9.239681206e+05 +9.239681206e+05 +9.237582406e+05 +9.237582406e+05 +3.5836e+00 -1.2450e+00 +5.0067e-01 +1.4147e+00 +8.2111e-01 +4.2308e+00 -1.5424e-01 +3.4826e-01 +2.2504e+00 +2.4268e+00 +1.8382e+00 -2.1665e+00 +8.6396e+00 +1.2638e+00 -6.1849e-02 -2.4951e+00 -2.3633e+00 +3.0475e+00 -1.5063e+00 +2.2802e+00
901 +6.022846712e+05 +6.022846712e+05 +6.020747912e+05 +6.020747912e+05 +1.7771e+00 +5.4557e+00 +2.0354e+00 +1.4147e+00 -8.6473e-01 -7.9637e+00 +6.4645e-01 -1.7638e+00 +2.2504e+00 -4.1236e-01 +2.3993e-01 -3.1807e+00 +6.6508e+00 -1.8782e-01 -6.1849e-02 -2.4951e+00 -2.3633e+00 +3.0475e+00 -3.1236e+00 +2.0308e+00
1207 +1.968391597e+05 +1.968391597e+05 +1.966292797e+05 +1.966292797e+05 +8.4399e-01 +5.7469e+00 +2.4486e+00 +4.2314e+00 -2.3847e+00 -1.0914e+00 -3.4892e-01 +4.3322e+00 -2.7106e+00 +4.2141e+00 +2.2717e-01 +2.2713e+00 +2.4999e+00 -9.5124e-01 -3.1404e-01 -4.5221e+00 -2.4526e+00 +2.9878e+00 -2.4065e+00 +2.1307e+00
1301 +1.460973876e+05 +1.460973876e+05 +1.458875076e+05 +1.458875076e+05 +8.4399e-01 -3.1784e-01 +2.4486e+00 +6.8737e+00 -2.3847e+00 -1.0914e+00 -3.4892e-01 +3.4700e+00 -8.8607e+00 +4.2141e+00 +2.2717e-01 +2.2713e+00 +2.4999e+00 -9.5124e-01 -1.0437e+00 -3.7617e+00 -2.4526e+00 +2.9878e+00 -2.4065e+00 +2.1307e+00
1811 +9.184487483e+04 +9.184487483e+04 +9.163499483e+04 +9.163499483e+04 +3.3096e+00 -4.0929e+00 +2.9811e+00 +7.6421e+00 +1.2093e+00 -1.1204e+00 -1.2427e+00 +3.0399e+00 -3.0360e+00 +1.9023e-01 -2.7108e+00 +5.0884e+00 +3.5654e+00 -2.3212e+00 -1.9752e+00 -3.9054e+00 -2.8509e+00 +3.1070e+00 -2.2668e+00 +1.9111e+00
