% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.661602440e+02 +4.661602440e+02 +4.569502440e+02 +4.569502440e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +3.832715039e+02 +3.832715039e+02 +3.740615039e+02 +3.740615039e+02 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
33 +2.488080541e+02 +2.488080541e+02 +2.395980541e+02 +2.395980541e+02 +3.1931e+00 -1.0143e+00 +4.0810e+00 -2.3368e+00 +2.7569e+00 -1.3233e+00 -3.6934e+00 +6.0328e-01 +1.8596e+00 +9.5354e-01 +3.3391e+00 +4.6957e+00 +4.2569e+00 +3.2084e+00 -4.8548e+00 -4.7194e+00 +2.9220e+00 +4.0448e+00 -3.2920e+00 +1.6179e+00
1021 +1.439113137e+02 +1.439113137e+02 +1.347013137e+02 +1.347013137e+02 +1.0643e+01 -2.7759e+00 +2.4115e+00 -9.2300e-01 -1.9106e-01 +1.9531e+00 +2.0021e+00 -8.1855e-01 -2.4381e-01 -7.3432e+00 -3.2746e+00 +8.9556e+00 +7.0717e+00 +6.6554e+00 -5.8748e+00 -4.9796e+00 +1.4852e+01 +7.0166e+00 -5.0785e+00 +3.2550e+00
1991 +6.683052469e+01 +6.683052469e+01 +5.762052469e+01 +5.762052469e+01 +1.5183e+01 -9.4349e+00 +7.2989e+00 +7.6468e+00 +3.3544e+00 +3.9361e+00 +8.8044e+00 -3.4994e+00 +6.8641e+00 -5.9849e+00 -5.3528e+00 -4.9897e+00 +5.5911e+00 +2.1727e+00 -4.7316e+00 -5.6080e+00 +1.3706e+01 +7.2220e+00 -5.1533e+00 +9.5406e+00
2936 +5.593337710e+01 +5.593337710e+01 +4.672337710e+01 +4.672337710e+01 +1.9245e+01 -1.0007e+01 +4.8455e+00 +4.4829e+00 -4.3736e+00 +9.6655e+00 +9.4780e+00 -1.5240e+00 +1.2551e+01 -6.9554e+00 -1.0573e+01 -3.3149e+00 +5.5360e+00 +4.2189e+00 -2.8681e+00 -7.3672e+00 +1.4882e+01 +1.1083e+01 -5.2285e+00 +1.1941e+01
4290 +3.747969893e+01 +3.747969893e+01 +2.826969893e+01 +2.826969893e+01 +4.3741e+01 -1.6791e+01 +1.4061e+01 +1.4939e+01 -6.4797e+00 +1.1426e+01 +5.8677e+00 +4.6826e+00 +1.6433e+01 -2.2210e+00 -1.5770e+01 -9.5857e+00 +4.9898e+00 +6.0722e+00 -4.2988e+00 -8.0866e+00 +1.4686e+01 +8.0251e+00 -1.0964e+01 +1.0673e+01
4855 +2.287258727e+01 +2.287258727e+01 +1.366258727e+01 +1.366258727e+01 +3.6565e+01 -2.1072e+00 +1.8837e+01 +8.9816e+00 -1.6939e+01 +5.7283e+00 +6.5197e+00 +4.7007e-01 +1.2675e+01 -4.1160e+00 -1.6332e+01 -6.2041e+00 +4.6174e+00 +5.7253e+00 -1.1190e+01 -1.1247e+01 +1.1023e+01 +7.3012e+00 -9.2929e+00 +1.3219e+01
5154 +1.536352627e+01 +1.536352627e+01 +6.153526270e+00 +6.153526270e+00 +3.7312e+01 -4.6673e+00 +2.3799e+01 +4.6322e+00 -1.6555e+01 +5.2918e+00 +1.2538e+01 +4.8191e+00 +1.2389e+01 -8.3837e+00 -2.0951e+01 -5.6328e+00 +4.1827e+00 +6.1801e+00 -1.0072e+01 -8.7912e+00 +1.2957e+01 +6.3153e+00 -7.8495e+00 +1.0573e+01
5742 +9.347997851e+00 +9.347997851e+00 +1.379978514e-01 +1.379978514e-01 +3.2308e+01 +1.2584e+00 +1.0394e+01 +1.6335e+01 -2.6983e+01 +1.1773e+01 +2.2697e+01 +2.8061e+00 +1.8248e+01 -6.1431e+00 -1.3475e+01 -1.5690e+01 +5.0722e+00 +8.3296e+00 -7.7725e+00 -7.5053e+00 +8.4285e+00 +6.2011e+00 -6.0572e+00 +1.4253e+01
5894 +4.404869660e+00 +4.404869660e+00 -4.805130340e+00 -4.805130340e+00 +4.9126e+01 +1.1325e+01 +1.9194e+01 +9.0428e+00 -3.0810e+01 +4.9977e+00 +2.3464e+01 +5.9329e+00 +2.3006e+01 -6.9094e+00 -1.2438e+01 -1.5135e+01 +8.9228e+00 +4.0895e+00 -7.0349e+00 -1.2714e+01 +8.4362e+00 +9.1221e+00 -1.1586e+01 +1.3447e+01
