% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.853851857e+05 +6.853851857e+05 +6.855090157e+05 +6.855090157e+05 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +3.615794997e+05 +3.615794997e+05 +3.617033297e+05 +3.617033297e+05 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
19 +1.899714324e+05 +1.899714324e+05 +1.900952624e+05 +1.900952624e+05 +2.4163e+00 -2.1962e+00 -3.1569e-01 -1.3604e+00 +4.6871e+00 -1.1555e+00 +6.0504e-02 +1.0997e+00 +2.0984e+00 -3.2891e+00 -2.1897e+00 +7.8516e-01 +2.5235e+00 -2.2236e+00 +1.0358e+00 -1.7625e+00 +4.2154e+00 +4.3564e+00 +2.0321e+00 +2.6101e+00
27 +1.582661384e+05 +1.582661384e+05 +1.583899684e+05 +1.583899684e+05 -7.4885e-01 +2.6024e+00 -6.1863e-01 +1.1968e-01 -4.7632e+00 +1.7844e+00 +1.4730e+00 -3.0265e+00 +3.3349e-01 +1.4780e-01 +1.1894e+00 +2.0468e+00 -3.6969e+00 -9.7148e-01 -2.5598e+00 -2.0258e+00 +2.7407e+00 +6.0303e-01 -5.7738e-01 -2.6331e+00
400 +8.376096862e+04 +8.376096862e+04 +8.388479862e+04 +8.388479862e+04 -3.1401e+00 +1.1707e-01 -3.2495e+00 +1.0980e-01 +1.8951e+00 +1.2931e+00 +4.5633e-01 +1.5586e+00 -1.4603e-01 -1.3415e+00 -1.3939e+00 -1.7478e+00 +6.0347e+00 -3.2638e-01 +5.0328e-01 +8.8826e-01 +1.0259e+00 +1.0405e+00 -1.2450e+00 -6.7362e-01
431 +6.169970797e+04 +6.169970797e+04 +6.182353797e+04 +6.182353797e+04 +3.4552e+00 +4.5272e-01 -3.1117e+00 -1.0444e-01 -3.4740e-01 -3.8508e-01 +8.0398e-01 -2.6308e-01 +2.3804e+00 +1.8986e+00 -2.4424e+00 -5.4709e+00 -4.5467e-03 +2.7880e+00 +1.3078e+00 +3.2033e-01 -2.2228e+00 +3.7117e+00 +1.6215e-01 -2.4385e+00
884 +2.084083469e+04 +2.084083469e+04 +2.096466469e+04 +2.096466469e+04 -2.8890e+00 -2.5674e+00 +1.1888e+00 +2.6693e+00 -5.8527e-01 +7.4407e-01 +1.3325e+00 -1.7264e+00 +8.3982e-01 -7.2937e-01 +1.3136e-01 +2.2825e+00 +1.6464e+00 +1.0391e+00 -3.2953e-01 +1.9455e+00 +2.9124e-01 +1.2671e+00 -1.4403e+00 -1.6665e+00
1495 +1.400131603e+04 +1.400131603e+04 +1.412514603e+04 +1.412514603e+04 +9.0334e-01 -7.1193e-02 +3.5284e-01 -6.4833e-01 -6.9383e-01 -9.4199e-03 -1.0886e+00 -1.4941e+00 -1.2647e+00 +5.6298e-01 +1.7536e+00 +8.2570e-02 -2.9599e-01 -5.9038e-02 +7.2712e-01 -3.6469e+00 -3.5677e+00 -1.3535e+00 -4.6598e-01 +9.8681e-01
2341 +9.413440068e+03 +9.413440068e+03 +9.537270068e+03 +9.537270068e+03 +7.1358e-01 +1.0268e+00 +1.0940e+00 +9.4647e-01 +1.7938e+00 -1.0232e+00 +5.3391e-01 -2.5407e+00 +4.3969e-01 +2.3717e+00 -1.8081e+00 -3.6131e+00 -4.4537e-01 +9.7102e-01 -6.0833e-01 -1.1050e+00 -1.2897e+00 +6.7434e-01 -1.1002e+00 +1.3610e+00
2599 +5.950495865e+03 +5.950495865e+03 +6.074325865e+03 +6.074325865e+03 -2.3872e+00 -9.4129e-01 +1.2404e-01 -6.9302e-01 -2.1686e-01 +7.1777e-01 +7.7718e-01 +3.6296e-01 -7.6229e-01 +2.2651e-01 +1.2959e+00 -7.8519e-01 +3.1078e-01 +2.4780e+00 +1.1794e+00 -9.9500e-01 -5.7042e-01 -4.5199e-01 -1.2296e+00 -1.7653e+00
