% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.272002201e+07 +3.272002201e+07 +3.271996707e+07 +3.271996707e+07 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
3 +2.063416491e+07 +2.063416491e+07 +2.063410997e+07 +2.063410997e+07 -4.7257e+00 -3.3348e+00 -3.6585e+00 -2.5308e+00 -4.8896e+00 +3.1732e-01 -3.4667e+00 +6.8246e-01 -6.9552e-01 -3.3823e+00 -2.5413e+00 +2.1374e-02 -5.8656e-01 +5.2793e-01 -3.3948e-01 -4.6054e+00 +4.5124e+00 +1.0595e+00 +4.9704e-01 -1.9615e+00
4 +9.165361455e+06 +9.165361455e+06 +9.165306515e+06 +9.165306515e+06 -1.5768e+00 -4.4066e+00 -3.7784e+00 -4.7071e+00 -2.7482e+00 +1.4017e+00 -7.5121e-01 -4.2133e+00 -2.6142e+00 -4.7088e+00 -1.0543e+00 +1.0264e+00 +3.1087e+00 +3.5881e+00 -1.3424e+00 +2.1166e+00 -3.0815e+00 +2.4587e-01 +4.3025e+00 -2.3845e-01
24 +4.593736954e+06 +4.593736954e+06 +4.593682014e+06 +4.593682014e+06 -1.0293e+00 -3.5467e+00 +3.3950e+00 +3.9030e+00 +1.0799e+00 -4.7499e+00 +8.2327e-01 -5.0313e-01 -4.7182e+00 -8.4404e-01 +3.7274e+00 +1.4984e+00 +1.3684e+00 -2.2851e+00 -5.4363e-01 +1.6938e+00 -2.1551e+00 +1.3068e+00 +3.5323e+00 -1.2626e+00
50 +3.157441917e+06 +3.157441917e+06 +3.157386977e+06 +3.157386977e+06 -4.8258e+00 +9.2345e-01 +1.0275e-01 +1.6134e+00 +1.5316e+00 -6.1630e-01 +2.4076e+00 -4.8000e+00 +5.2676e-01 +1.7918e+00 +4.7580e-01 -6.2538e-01 +3.1928e+00 -3.6664e+00 -3.6949e+00 -3.7796e+00 +4.8917e+00 -3.3447e+00 +3.0460e+00 +1.1521e+00
144 +1.350980103e+06 +1.350980103e+06 +1.350925163e+06 +1.350925163e+06 +1.8740e+00 +5.4146e-01 -2.7308e+00 -2.4957e+00 +3.0760e+00 +1.9115e+00 +2.7334e+00 -2.7983e+00 -4.7964e+00 -2.9257e-01 +2.4390e+00 -3.4620e+00 -3.9907e+00 -3.2021e+00 -1.3782e+00 +1.7697e+00 +2.2592e+00 +1.0620e+00 +2.1522e+00 +3.2756e+00
328 +9.931316182e+05 +9.931316182e+05 +9.930766782e+05 +9.930766782e+05 +8.5597e-01 -4.3538e-01 -3.3129e+00 -5.1631e-01 +2.9467e+00 -7.0530e-01 +3.4267e+00 -3.2902e+00 -3.4150e+00 -3.9898e+00 -4.6692e-03 -3.2545e-01 +1.6334e-01 -3.0612e+00 -3.0995e+00 +2.9114e+00 +2.4029e-01 -1.6428e+00 -2.8320e-01 +2.4437e+00
1308 +5.808740446e+05 +5.808740446e+05 +5.808191046e+05 +5.808191046e+05 -7.1905e+00 +1.2586e+00 -2.7605e+00 +2.8427e+00 +1.5546e+00 +2.6252e+00 +1.2307e+00 -6.2843e-01 +8.6806e-01 -1.6629e+00 -2.6188e+00 +3.0903e+00 +2.7939e+00 +3.7697e-02 -3.6955e+00 -3.9404e+00 +4.6835e+00 -4.0527e+00 -4.4018e+00 -6.7435e-01
2718 +3.308124829e+05 +3.308124829e+05 +3.307575429e+05 +3.307575429e+05 -3.8575e+00 +1.7008e+00 -3.1518e+00 +6.1762e+00 +2.5126e+00 +5.1419e+00 -1.6619e+00 +1.1536e+00 -2.5093e+00 -1.1205e+00 -6.5685e+00 -1.3308e+00 -2.7470e+00 -1.5381e+00 -3.4236e+00 -3.4515e+00 +2.9204e+00 -3.0224e+00 -1.6920e+00 +6.9313e-02
3463 +2.065166312e+05 +2.065166312e+05 +2.064616912e+05 +2.064616912e+05 -5.5593e+00 +1.5575e+00 -9.5983e-01 +6.3938e+00 +5.1043e-01 +5.7077e-01 -1.1110e+00 -2.2989e+00 -4.9566e+00 +2.8009e+00 -1.5737e+00 -2.2439e+00 -5.5809e+00 -2.9065e-01 -2.2110e-01 -3.1059e+00 +7.6287e+00 -3.8650e+00 -2.8384e+00 +2.3453e+00
