% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.110032295e+07 +7.110032295e+07 +7.110011307e+07 +7.110011307e+07 +8.0520e-01 +1.4938e+00 +2.0197e+00 -3.0712e+00 -8.5718e-01 -3.0954e+00 +4.1819e+00 +1.8133e+00 +1.4740e+00 +4.5488e-01 -2.1771e-01 +3.9267e+00 -4.8168e+00 -1.5158e-01 +9.1683e-01 -7.4432e-01 -3.9181e+00 +2.5104e+00 +4.8698e+00 -4.9693e+00
2 +2.271471722e+07 +2.271471722e+07 +2.271450734e+07 +2.271450734e+07 +4.9703e+00 -1.7382e+00 -2.7962e+00 -1.8863e+00 -2.4508e+00 -4.8005e+00 +7.9430e-01 -2.4923e+00 -2.4308e+00 +8.3303e-01 -2.8821e+00 -6.1980e-01 +2.6495e+00 +2.1553e+00 -2.1312e+00 +4.3225e+00 -4.2250e+00 -6.4321e-01 +1.4079e+00 +4.9130e+00
8 +9.414136271e+06 +9.414136271e+06 +9.413926391e+06 +9.413926391e+06 +2.3792e+00 -4.9150e+00 +1.0326e+00 +4.9138e+00 -3.1715e-01 +3.9129e+00 +4.2306e+00 -2.6303e+00 +4.8082e+00 +4.2615e+00 +4.0415e+00 -2.3156e+00 +1.9698e+00 +2.7589e+00 -1.3242e+00 +1.6684e+00 -4.2469e+00 +4.5788e+00 -4.8061e+00 +3.9516e+00
75 +4.709179313e+06 +4.709179313e+06 +4.708969433e+06 +4.708969433e+06 -2.2084e+00 +5.9401e-01 +4.5290e+00 +6.4207e-01 +6.6167e-01 +3.2046e+00 +4.3021e+00 -4.8620e+00 -4.8248e+00 +2.9589e+00 -3.2570e+00 -1.2949e+00 -1.6632e+00 -8.9699e-01 +4.8081e+00 -3.8058e+00 +6.3607e-01 +3.8348e+00 -4.1896e+00 +2.0300e+00
88 +3.730968360e+06 +3.730968360e+06 +3.730758480e+06 +3.730758480e+06 +3.7039e-01 +9.9804e-01 +4.0133e+00 +1.2829e+00 -3.5568e+00 -9.8541e-01 -3.7227e+00 +1.3528e+00 +3.6137e+00 +4.5840e+00 -3.6938e+00 -2.1047e+00 +2.6118e+00 -4.9722e+00 -2.4547e+00 -3.0210e+00 +1.7991e+00 +1.4133e+00 -2.0844e+00 +1.7495e+00
192 +1.820399595e+06 +1.820399595e+06 +1.820189715e+06 +1.820189715e+06 +2.9109e+00 +5.4007e-01 +2.7256e+00 -2.7389e-02 -3.3786e-01 +2.1371e+00 +3.0607e+00 +2.4460e+00 +3.2380e+00 +3.2110e+00 +8.6661e-01 +3.0079e-01 +8.5172e-01 -1.0073e-01 -2.6173e+00 -2.8348e+00 -4.8714e+00 +4.8351e+00 -2.3312e+00 +2.7806e+00
474 +1.112082351e+06 +1.112082351e+06 +1.111872471e+06 +1.111872471e+06 +1.8813e+00 +4.8118e-01 -2.0152e+00 +6.9352e-02 +3.1183e+00 -4.2806e+00 +3.9213e+00 +1.9316e+00 +1.0288e+00 +2.9144e+00 -2.1628e-01 -7.8959e-01 -2.9376e+00 +2.0451e+00 +8.3655e-01 -2.6314e+00 -2.6103e+00 +3.7198e+00 -3.0456e+00 +1.5834e+00
813 +5.239640837e+05 +5.239640837e+05 +5.237542037e+05 +5.237542037e+05 -2.5912e+00 +6.7746e+00 +1.4504e+00 +2.4687e+00 +1.4625e+00 +4.2760e+00 -4.3058e-01 -1.9346e+00 +4.2741e-01 -1.3887e+00 -8.0964e-01 +1.0456e+00 +1.8145e+00 -2.5950e-01 +7.5153e-01 -2.7813e+00 -2.0238e+00 +3.1673e+00 -2.6949e+00 +1.6587e+00
2286 +3.878378747e+05 +3.878378747e+05 +3.876279947e+05 +3.876279947e+05 +2.3457e+00 +2.2822e+00 +1.6872e+00 -1.1088e+00 -5.2154e+00 -1.8433e-01 +1.1708e+00 -4.2841e+00 +1.3823e+00 +1.3030e+00 -1.3724e-01 +5.2825e-01 +3.3848e+00 -2.3522e+00 -1.4149e+00 -1.9361e+00 -2.9389e+00 +3.8050e+00 -2.7390e+00 +1.8045e+00
2429 +2.152555858e+05 +2.152555858e+05 +2.150457058e+05 +2.150457058e+05 -3.9107e-01 +5.3663e+00 +8.6091e-02 +1.1298e+00 +5.7435e-01 +4.6136e+00 -1.8402e+00 -3.7035e+00 +3.9066e-01 +1.9492e+00 +1.5169e+00 -5.9121e-01 +9.7339e-01 -2.2720e+00 -2.3005e+00 -4.4307e+00 -3.9551e+00 +3.2338e+00 -2.3191e+00 +2.0182e+00
2496 +1.246199288e+05 +1.246199288e+05 +1.244100488e+05 +1.244100488e+05 +5.6379e-01 +1.1504e+01 +2.2164e+00 +4.7527e+00 -5.0184e-01 -2.8730e+00 -1.9638e+00 +6.0330e+00 +7.6178e+00 +1.4932e+00 +4.3714e-01 +2.5414e-02 +4.8879e+00 -1.0324e+00 -2.7936e-02 -3.9205e+00 -2.8543e+00 +3.0852e+00 -2.5449e+00 +1.9192e+00
3157 +8.811522709e+04 +8.811522709e+04 +8.790534709e+04 +8.790534709e+04 -2.8993e+00 -9.5168e-02 +5.0951e+00 +4.0810e-01 -2.4218e-01 +9.5805e+00 +1.1849e+00 +7.8888e-01 +4.2122e-02 +2.2604e-01 +1.9122e+00 +1.1930e+00 +4.0511e+00 -2.4583e+00 -1.4845e+00 -3.8013e+00 -3.7291e+00 +2.7820e+00 -2.3864e+00 +1.9904e+00
4224 +6.017750389e+04 +6.017750389e+04 +5.996762389e+04 +5.996762389e+04 +5.5928e-01 +5.5791e-01 -3.2243e+00 -1.4142e+00 -3.5930e+00 +1.3987e+00 -2.8975e+00 +2.2345e+00 +4.3379e-01 +3.8136e+00 +5.6650e-01 +3.4558e+00 +3.0958e+00 -1.4310e+00 -1.3828e+00 -3.4579e+00 -2.6174e+00 +2.8553e+00 -2.2954e+00 +1.9133e+00
4892 +3.909848215e+04 +3.909848215e+04 +3.888860215e+04 +3.888860215e+04 +2.3638e+00 +8.0583e+00 +1.8834e+00 +2.4681e+00 +2.5390e+00 +1.0805e-01 -1.9496e+00 +6.0795e+00 +4.7017e+00 +1.2057e+00 +2.4773e+00 +1.5164e+00 +3.3016e+00 -2.0142e+00 -1.4900e+00 -3.6466e+00 -3.3032e+00 +3.0032e+00 -2.3974e+00 +1.9156e+00
5114 +1.809669584e+04 +1.809669584e+04 +1.788681584e+04 +1.788681584e+04 -1.6632e+00 +6.7236e+00 +3.0395e-01 +5.8578e-02 +4.3916e-01 -3.8480e-01 -2.2422e+00 -1.0660e+00 +6.0954e-01 +2.8141e+00 -3.0206e-01 +2.7936e+00 +4.1521e+00 -1.2991e+00 -1.7925e+00 -3.8224e+00 -3.0286e+00 +3.1071e+00 -2.4575e+00 +1.9630e+00
5382 +1.499687359e+04 +1.499687359e+04 +1.478699359e+04 +1.478699359e+04 -1.9646e+00 +9.0677e-01 +6.7275e-01 +1.0555e+00 +1.7990e+00 +8.0170e-01 +2.6900e-01 -1.5249e+00 +3.0502e-01 +1.5444e+00 -8.8422e-01 +1.2545e+00 +3.3380e+00 -1.6666e+00 -1.5951e+00 -3.7979e+00 -3.1936e+00 +3.0199e+00 -2.3775e+00 +1.8827e+00
6208 +9.749278126e+03 +9.749278126e+03 +9.539398126e+03 +9.539398126e+03 +3.0576e-01 +7.9045e+00 -2.7497e+00 +2.9811e+00 +3.2614e-01 -3.1350e+00 +3.7517e-01 +4.2540e-02 -1.1219e+00 +3.0001e+00 +5.5793e-01 +1.3006e+00 +4.4244e+00 -1.4358e+00 -1.3199e+00 -3.7642e+00 -2.8746e+00 +3.1122e+00 -2.3525e+00 +1.9143e+00
6758 +5.817935283e+03 +5.817935283e+03 +5.608055283e+03 +5.608055283e+03 -1.8013e+00 +4.3848e-01 +1.8499e+00 -1.3757e-01 +3.9565e-01 +2.6316e+00 +2.6666e+00 -2.8747e+00 -2.2532e+00 +1.9265e+00 +1.4242e+00 +1.5518e+00 +4.1080e+00 -1.2658e+00 -1.2676e+00 -3.7844e+00 -3.0298e+00 +3.0505e+00 -2.3390e+00 +1.9110e+00
7835 +3.418924574e+03 +3.418924574e+03 +3.209044574e+03 +3.209044574e+03 -3.7298e-01 +7.2949e+00 +2.7895e+00 +2.5081e+00 -1.3631e+00 +2.6993e+00 +1.7473e+00 -1.0770e+00 -7.9280e-01 +2.3137e+00 +4.3590e-01 +2.0512e+00 +3.7657e+00 -1.5515e+00 -1.4073e+00 -3.8187e+00 -3.0728e+00 +3.0928e+00 -2.4079e+00 +1.9323e+00
8419 +2.248130055e+03 +2.248130055e+03 +2.038250055e+03 +2.038250055e+03 -2.0174e+00 -6.9107e-03 +7.1593e-01 -3.4061e-01 -5.0110e-01 +2.3565e+00 +2.1715e+00 -1.1406e+00 +8.0490e-02 +2.0783e+00 +1.0288e+00 +1.6571e+00 +3.9731e+00 -1.3997e+00 -1.5122e+00 -3.7143e+00 -3.1254e+00 +3.0593e+00 -2.4080e+00 +1.9145e+00
8906 +1.354666860e+03 +1.354666860e+03 +1.144786860e+03 +1.144786860e+03 -2.3855e+00 -1.3102e-01 +3.8640e+00 -6.6850e-01 +9.2623e-01 +3.6103e+00 +1.1528e+00 -8.2655e-02 -9.2897e-02 +2.4705e+00 +8.3040e-01 +1.9616e+00 +3.8961e+00 -1.4993e+00 -1.5166e+00 -3.7457e+00 -3.0846e+00 +3.0804e+00 -2.3727e+00 +1.9205e+00
9728 +9.535757498e+02 +9.535757498e+02 +7.436957498e+02 +7.436957498e+02 -1.2584e+00 +4.3376e+00 +2.9129e+00 +1.0821e+00 +7.2687e-01 +2.7050e+00 +1.7632e+00 -3.5530e-01 -4.7252e-01 +2.9025e+00 +8.8488e-01 +1.4972e+00 +3.9558e+00 -1.4562e+00 -1.5262e+00 -3.7971e+00 -3.0590e+00 +3.0550e+00 -2.3449e+00 +1.9147e+00
10094 +5.650288970e+02 +5.650288970e+02 +3.551488970e+02 +3.551488970e+02 -8.6916e-01 +5.6543e+00 +3.6272e-01 +2.3217e+00 +1.8387e+00 +1.3999e+00 +1.5290e+00 -1.6291e-01 -9.6231e-01 +2.8123e+00 +8.7402e-01 +1.5461e+00 +3.8779e+00 -1.3365e+00 -1.5035e+00 -3.7771e+00 -3.0751e+00 +3.0620e+00 -2.3678e+00 +1.9125e+00
11201 +3.211043265e+02 +3.211043265e+02 +1.112243265e+02 +1.112243265e+02 -1.1671e+00 +5.3403e-01 +2.0893e+00 +7.2184e-01 +1.4175e+00 +4.0263e+00 +3.0374e+00 +4.8364e-02 -1.1019e+00 +2.6033e+00 +7.1980e-01 +1.6013e+00 +3.9626e+00 -1.5018e+00 -1.5579e+00 -3.7653e+00 -3.0619e+00 +3.0651e+00 -2.3736e+00 +1.9203e+00
12142 +2.327212501e+02 +2.327212501e+02 +2.284125005e+01 +2.284125005e+01 -4.3356e-01 +5.6540e+00 +2.9596e+00 +2.3384e+00 +1.5113e+00 +3.0912e+00 +1.6026e+00 +3.7497e-02 -1.0030e+00 +2.6382e+00 +8.3897e-01 +1.5188e+00 +4.0030e+00 -1.3872e+00 -1.5213e+00 -3.7941e+00 -3.0502e+00 +3.0645e+00 -2.3705e+00 +1.9213e+00
12843 +1.251750472e+02 +1.251750472e+02 -8.470495277e+01 -8.470495277e+01 -1.4110e+00 +3.5106e+00 +2.7402e+00 +1.4147e+00 +2.7064e+00 +2.4020e+00 +2.6484e+00 +6.7895e-03 -1.0797e+00 +2.5515e+00 +9.8267e-01 +1.5098e+00 +3.9611e+00 -1.4078e+00 -1.5185e+00 -3.7786e+00 -3.0527e+00 +3.0702e+00 -2.3788e+00 +1.9189e+00
13110 +8.509460715e+01 +8.509460715e+01 -1.247853928e+02 -1.247853928e+02 -2.1905e+00 +1.1016e+00 +2.9617e+00 +1.4716e+00 +2.2069e+00 +2.6868e+00 +2.4380e+00 +2.6190e-02 -1.2918e+00 +2.6059e+00 +8.9240e-01 +1.5267e+00 +3.9989e+00 -1.4009e+00 -1.5234e+00 -3.7744e+00 -3.0585e+00 +3.0740e+00 -2.3827e+00 +1.9201e+00
