% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.766489851e+06 +1.766489851e+06 +1.766525751e+06 +1.766525751e+06 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +1.574297312e+06 +1.574297312e+06 +1.574333212e+06 +1.574333212e+06 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
22 +9.295529340e+05 +9.295529340e+05 +9.295888340e+05 +9.295888340e+05 +1.8729e+00 +4.0333e+00 +3.9250e-01 -4.5943e+00 +4.1286e+00 -3.0638e+00 -3.8798e+00 -4.6723e-01 +1.2333e+00 -4.8913e+00 -2.4933e+00 +4.5224e+00 -4.5750e+00 -2.8108e+00 +4.1825e+00 -2.7456e+00 -1.9134e-01 +2.9018e+00 +4.0643e+00 +1.6336e-01
27 +6.106971376e+05 +6.106971376e+05 +6.107330376e+05 +6.107330376e+05 -7.4885e-01 +2.6024e+00 -6.1863e-01 +1.1968e-01 -4.7632e+00 +1.7844e+00 +1.4730e+00 -3.0265e+00 +3.3349e-01 +1.4780e-01 +1.1894e+00 +2.0468e+00 -3.6969e+00 -9.7148e-01 -2.5598e+00 -2.0258e+00 +2.7407e+00 +6.0303e-01 -5.7738e-01 -2.6331e+00
314 +3.725688169e+05 +3.725688169e+05 +3.726047169e+05 +3.726047169e+05 -6.9340e-01 -5.5375e-01 +3.3403e+00 +1.2693e+00 -4.5929e+00 -2.0274e+00 -3.3515e+00 +7.7366e-01 -3.1409e+00 -4.0131e+00 +4.8781e-01 -1.0471e+00 +5.2393e+00 -1.8186e+00 +1.7459e+00 -3.9473e-02 +6.6438e-01 +7.9009e+00 -1.5957e-01 -5.7199e+00
746 +1.904551067e+05 +1.904551067e+05 +1.904910067e+05 +1.904910067e+05 +3.5330e+00 +4.9712e-01 +4.5110e+00 +2.7072e+00 -4.5738e+00 -4.9642e+00 +2.2395e+00 -2.4667e+00 -2.2759e+00 -6.0720e+00 +1.6329e+00 +3.9498e+00 +1.1192e+00 +1.6806e+00 -2.0013e+00 -2.9852e+00 +2.8645e+00 +3.6508e+00 -1.8034e+00 -5.2248e+00
852 +7.631843639e+04 +7.631843639e+04 +7.635433639e+04 +7.635433639e+04 +5.1026e-01 +4.3734e-01 +3.4904e+00 +3.7840e+00 -2.0279e+00 -2.8114e+00 -1.1873e+00 -4.0795e+00 +1.1460e+00 -7.3332e+00 -4.4667e+00 +4.5814e+00 +2.5032e-01 -1.9886e+00 +2.7978e+00 -6.9877e+00 -1.7270e+00 +7.3890e+00 +2.8844e-01 -2.0524e+00
1528 +5.642206921e+04 +5.642206921e+04 +5.645796921e+04 +5.645796921e+04 +1.8835e+00 +9.1381e-01 +4.0558e+00 +4.4758e+00 -2.5342e+00 -6.7773e+00 +2.6538e-01 -1.3941e-01 -3.1047e+00 -5.4696e+00 -5.9456e-01 +2.4066e+00 +3.6336e-01 -1.3500e+00 +2.9364e-01 -5.4790e+00 +3.1843e-02 +6.2463e+00 -8.4459e-01 -1.8495e+00
1873 +3.386692185e+04 +3.386692185e+04 +3.390282185e+04 +3.390282185e+04 +1.6674e+00 +2.0817e+00 +5.3228e+00 +4.0182e+00 -4.8409e+00 -6.8135e+00 -4.9684e-01 -7.3304e+00 -3.3551e+00 -8.8606e+00 -1.0022e+00 +3.4200e+00 +1.6334e+00 -7.5075e+00 +2.9539e-01 -9.3130e+00 +2.1331e+00 +7.7819e+00 -7.9930e-01 -6.4694e-01
2311 +6.105223974e+03 +6.105223974e+03 +6.141123974e+03 +6.141123974e+03 +1.6386e+00 -1.5145e+00 +5.8751e+00 +6.4946e+00 -9.5719e-01 -9.3277e+00 +1.7780e+00 +1.0099e-01 +4.6573e+00 -1.2377e+01 -4.5725e+00 +3.4516e+00 +3.7785e+00 -3.4965e+00 +3.8318e+00 -1.1340e+01 -4.7771e+00 +1.3872e+01 -3.3917e-01 -5.9864e+00
