% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.030840223e+06 +5.030840223e+06 +5.030630343e+06 +5.030630343e+06 +3.3284e-01 -3.6400e+00 -2.6399e+00 -6.1574e-02 +3.7417e-01 +1.7106e+00 +2.2888e+00 +3.7554e+00 -3.7117e+00 +9.9918e-01
7 +2.815321328e+06 +2.815321328e+06 +2.815111448e+06 +2.815111448e+06 +1.8553e+00 -2.1657e+00 -4.4753e+00 -7.5986e-01 +9.2441e-01 +7.9559e-01 +1.9148e-01 +5.5447e+00 -3.4887e+00 +2.2314e+00
8 +1.526678304e+06 +1.526678304e+06 +1.526468424e+06 +1.526468424e+06 +8.8110e-01 -2.9245e+00 +6.4400e-01 +2.4635e+00 -1.9595e+00 +3.4435e+00 +2.8871e+00 +4.2524e+00 -1.1283e-02 +3.1498e+00
29 +1.985430838e+05 +1.985430838e+05 +1.983332038e+05 +1.983332038e+05 +3.8039e+00 -3.6163e+00 -3.4208e+00 -1.1384e+00 -2.5420e+00 +7.4405e-01 +3.1952e+00 +1.2841e+00 -6.7077e-01 +2.4001e+00
69 +1.137574240e+05 +1.137574240e+05 +1.135475440e+05 +1.135475440e+05 +2.4191e+00 -1.6378e+00 -9.7689e-01 -2.1345e+00 -1.3785e-01 +2.1195e+00 +8.5236e-01 -1.4083e-01 -6.7836e-01 +2.3884e+00
300 +8.984183473e+04 +8.984183473e+04 +8.963195473e+04 +8.963195473e+04 +4.2146e+00 -1.9136e+00 -4.3828e+00 -3.0534e+00 -1.8253e+00 +1.1255e+00 +1.6575e-01 -5.2174e-01 -1.1029e+00 +2.4728e+00
309 +4.708106547e+04 +4.708106547e+04 +4.687118547e+04 +4.687118547e+04 +4.5538e+00 -1.7989e+00 -5.2552e+00 -2.9998e+00 -2.1637e+00 +1.4308e+00 +9.5318e-01 -2.1678e-01 -9.6347e-01 +2.6726e+00
359 +2.993516423e+04 +2.993516423e+04 +2.972528423e+04 +2.972528423e+04 +4.2739e+00 -2.1225e+00 -5.8706e+00 -2.9989e+00 -2.4386e+00 +1.5557e+00 +1.3986e+00 +1.2616e-01 -1.1726e+00 +2.6532e+00
385 +2.103998915e+04 +2.103998915e+04 +2.083010915e+04 +2.083010915e+04 +3.5219e+00 -2.6527e+00 -4.7585e+00 -2.2684e+00 -1.8610e+00 +1.7374e+00 +2.3699e+00 -2.9420e-01 -1.1780e+00 +2.5161e+00
485 +1.456508784e+04 +1.456508784e+04 +1.435520784e+04 +1.435520784e+04 +3.4858e+00 -2.3989e+00 -5.3662e+00 -3.2528e+00 -1.7096e+00 +1.6334e+00 +2.1322e+00 -1.6558e-01 -1.1576e+00 +2.5784e+00
529 +9.810202047e+03 +9.810202047e+03 +9.600322047e+03 +9.600322047e+03 +3.5994e+00 -2.3828e+00 -4.9057e+00 -3.0849e+00 -8.6896e-01 +2.1801e+00 +2.4763e+00 -1.7416e-01 -1.1495e+00 +2.5730e+00
933 +5.978549224e+03 +5.978549224e+03 +5.768669224e+03 +5.768669224e+03 +3.8093e+00 -2.0298e+00 -4.2239e+00 -2.2222e+00 -6.0191e-01 +2.5103e+00 +2.3200e+00 -6.4279e-02 -1.1229e+00 +2.6011e+00
1202 +3.953980618e+03 +3.953980618e+03 +3.744100618e+03 +3.744100618e+03 +4.0022e+00 -1.8731e+00 -3.7906e+00 -1.7263e+00 +5.9703e-01 +2.9651e+00 +2.3717e+00 -1.1366e-01 -1.0778e+00 +2.6059e+00
1304 +2.131849216e+03 +2.131849216e+03 +1.921969216e+03 +1.921969216e+03 +4.3122e+00 -1.4493e+00 -2.5845e+00 -1.0359e+00 +1.4385e+00 +2.8706e+00 +2.3780e+00 -1.1318e-01 -1.1028e+00 +2.5997e+00
