% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.996255730e+03 +2.996255730e+03 +3.026225730e+03 +3.026225730e+03 +2.3714e-01 -1.0634e+00 +1.4752e-01 -4.3007e+00 -2.4874e+00 -1.8004e-01 +1.3133e+00 -3.8390e+00 +2.4958e+00 -2.0528e+00 -3.1048e+00 +2.6597e+00 -4.7140e+00 +4.6753e-01 -1.4446e+00 +3.9994e+00 -3.0427e+00 +4.6644e+00 +2.5421e+00 -2.6949e+00
14 +2.501421841e+03 +2.501421841e+03 +2.531391841e+03 +2.531391841e+03 +3.1971e+00 +1.0958e+00 -2.0896e+00 -2.4454e+00 -1.4263e+00 -3.1635e+00 -1.9638e+00 +5.1977e-02 -1.2094e+00 -3.8063e+00 -2.5374e+00 -3.3667e+00 +6.4861e-02 +4.8271e+00 -6.9232e-01 +3.0782e+00 +4.3522e+00 +2.5193e+00 +3.3458e+00 +4.3104e+00
501 +1.569012312e+03 +1.569012312e+03 +1.598982312e+03 +1.598982312e+03 +5.7947e-01 +3.7444e-01 -3.1003e+00 -1.7613e+00 +2.8542e+00 +2.9266e+00 -2.2753e+00 -3.3922e+00 -1.1160e+00 +1.8062e+00 -2.0071e+00 -2.8700e+00 +6.3487e+00 +1.8763e+00 -1.0015e+00 -8.1442e-01 -9.5117e-01 +4.0732e+00 +9.2875e-01 -4.1084e+00
1701 +9.750483937e+02 +9.750483937e+02 +1.005018394e+03 +1.005018394e+03 -6.2256e-01 -1.2475e+00 -3.2453e+00 -3.3428e+00 +4.1397e+00 +1.0824e+00 -4.2560e+00 -2.1344e+00 -1.8894e+00 -3.4933e-01 +1.8322e+00 -8.4772e-01 +4.0980e+00 +1.2765e+00 +7.1647e-02 +2.9912e-01 -3.7476e+00 -9.1562e-03 +1.8543e+00 -4.7804e+00
3330 +5.910097830e+02 +5.910097830e+02 +6.209797830e+02 +6.209797830e+02 +1.5717e+00 -2.5561e+00 -3.0515e+00 -3.9805e+00 +3.9657e+00 +3.0957e+00 -3.5139e+00 -3.2562e+00 +2.7586e-01 -1.1215e+00 +3.3721e-02 -9.5596e-01 +3.6129e+00 +2.0367e+00 -1.6360e+00 +3.5531e+00 -3.0086e+00 +1.3097e+00 +2.0910e+00 -4.1446e+00
5412 +3.925170319e+02 +3.925170319e+02 +4.224870319e+02 +4.224870319e+02 +1.2488e+00 -9.1877e-01 -3.5566e+00 -1.8470e+00 +2.1380e+00 +2.8188e+00 -3.7450e+00 -3.5716e+00 -2.7408e-01 -2.1744e+00 +1.2882e+00 -1.3964e+00 +3.7058e+00 +3.0112e+00 -2.5532e+00 +2.3105e+00 -2.7520e+00 +7.1003e-01 +1.7011e+00 -4.0637e+00
6479 +2.448633490e+02 +2.448633490e+02 +2.748333490e+02 +2.748333490e+02 +5.3115e-01 -1.6379e+00 -3.4812e+00 -2.3601e+00 +2.6978e+00 +3.9391e+00 -3.7980e+00 -2.5548e+00 +1.0869e+00 -1.5901e+00 +1.5623e+00 -2.0691e+00 +5.0039e+00 +3.0368e+00 -1.8079e+00 +2.9008e+00 -2.0991e+00 -1.3652e+00 +1.3683e+00 -2.8108e+00
7722 +1.500617997e+02 +1.500617997e+02 +1.800317997e+02 +1.800317997e+02 +1.2968e+00 -1.5680e+00 -3.5258e+00 -1.5871e+00 +2.5566e+00 +3.1239e+00 -4.0915e+00 -3.1358e+00 +5.9899e-01 -1.5973e+00 +1.1440e+00 -1.4411e+00 +4.0542e+00 +2.4622e+00 -1.7593e+00 +2.8274e+00 -2.4474e+00 -9.6040e-01 +1.4901e+00 -3.2051e+00
9019 +9.582055951e+01 +9.582055951e+01 +1.257905595e+02 +1.257905595e+02 +7.6772e-01 -1.6598e+00 -3.5223e+00 -2.0321e+00 +2.9955e+00 +3.5630e+00 -4.1454e+00 -2.8766e+00 +8.9254e-01 -1.5390e+00 +1.2701e+00 -1.8416e+00 +4.2348e+00 +2.3467e+00 -1.7117e+00 +2.5971e+00 -2.4478e+00 -1.2848e+00 +1.5938e+00 -3.4555e+00
9870 +6.289944391e+01 +6.289944391e+01 +9.286944391e+01 +9.286944391e+01 +8.7493e-01 -1.6232e+00 -3.7338e+00 -2.0544e+00 +3.1420e+00 +3.3665e+00 -4.0585e+00 -2.9465e+00 +7.6384e-01 -1.8014e+00 +1.1335e+00 -1.7014e+00 +3.9070e+00 +2.3000e+00 -1.5014e+00 +2.7497e+00 -2.5347e+00 -8.7190e-01 +1.5536e+00 -3.1651e+00
