% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.402819365e+02 +2.402819365e+02 +3.197619365e+02 +3.197619365e+02 -3.8590e+00 +3.3363e-01 -3.2465e-01 +1.1935e+00 +1.5193e+00 -3.8981e+00 +5.2730e-02 -1.9916e-01 +6.6134e-01 -2.8887e+00 +1.6416e+00 -2.2157e+00 +4.0423e-01 +1.0980e+00 -2.4991e+00 -1.5709e+00 -1.8543e+00 +5.4961e-01 -2.7924e+00 -3.2386e+00
18 +1.415317581e+02 +1.415317581e+02 +2.210117581e+02 +2.210117581e+02 -2.2225e+00 +1.6399e+00 -7.0315e-01 +3.8044e+00 -1.4926e+00 -3.0013e+00 -3.1690e-01 +1.8081e+00 +2.9294e-01 -3.7813e+00 +3.6928e-01 -9.4320e-01 +2.5879e+00 +4.5047e-01 +1.9945e-01 -2.0966e+00 -3.6239e+00 +6.3171e-01 +6.8671e-01 +3.8818e-02
78 +8.917921617e+01 +8.917921617e+01 +1.686592162e+02 +1.686592162e+02 +1.5827e-01 +8.0397e-01 +2.5003e-01 +4.6311e+00 +1.2434e+00 -1.9793e+00 +2.6413e-01 +6.1602e-01 -3.2908e+00 -5.2570e+00 -3.2267e+00 +4.2039e+00 -1.1496e+00 +3.7734e+00 +3.0113e+00 +2.9572e+00 -2.8946e+00 -1.1373e+00 -2.0277e-01 +1.9051e+00
163 +6.220430965e+01 +6.220430965e+01 +1.416843097e+02 +1.416843097e+02 -1.8993e-02 -2.5625e+00 -1.6587e+00 +1.4390e+00 -2.5830e+00 -1.9652e+00 +9.2727e-01 +1.7420e+00 -4.5030e+00 -1.3811e+00 -9.3579e-01 +2.4002e+00 +8.4685e-01 +2.3179e+00 +2.5363e+00 +4.7349e-01 -3.2234e+00 -4.8316e+00 +3.7726e+00 +3.4704e+00
197 +3.665115754e+01 +3.665115754e+01 +1.161311575e+02 +1.161311575e+02 +8.7890e-01 +9.0862e-01 -1.3916e+00 +2.4103e+00 -1.3639e+00 -1.2832e+00 -1.6392e+00 -1.8943e+00 -2.3834e+00 -3.5548e+00 -2.9241e+00 -9.3050e-01 -5.0126e-01 -4.6423e-01 +3.9926e+00 +7.6372e-01 +9.7525e-01 -3.0510e+00 +1.6843e+00 +1.6006e+00
252 +2.189035956e+01 +2.189035956e+01 +1.013703596e+02 +1.013703596e+02 -2.9423e-01 -4.4825e-01 -3.5556e+00 +2.9794e+00 -2.9025e+00 -4.4923e-01 -3.1558e-02 -6.4023e-01 -3.1220e+00 -2.7239e+00 -4.6621e+00 +1.2460e+00 +2.9936e-01 -3.7556e-01 +3.0721e+00 +2.0940e+00 -2.0865e+00 -4.3285e+00 +1.6252e+00 +2.2140e+00
315 +1.549183708e+01 +1.549183708e+01 +9.497183708e+01 +9.497183708e+01 +5.8523e-01 -9.1823e-02 -1.8096e+00 +2.0910e+00 -3.0311e+00 +1.3848e+00 +1.7671e+00 -1.8527e-01 -1.9995e+00 -1.1292e+00 -4.6938e+00 +1.8155e+00 +1.5128e-01 +1.2895e+00 +4.1347e+00 +2.6876e+00 -3.9519e-01 -3.7251e+00 +2.9563e+00 +8.1999e-01
320 +9.432384571e+00 +9.432384571e+00 +8.891238457e+01 +8.891238457e+01 -2.0039e-01 +2.4854e-01 -2.1405e+00 +2.3921e+00 -1.8536e+00 +1.0010e+00 +5.8778e-01 -4.0167e-02 -1.8241e+00 -2.3055e+00 -3.6825e+00 +1.1071e+00 +3.7538e-01 -3.3071e-01 +3.3942e+00 +3.8871e+00 +1.8633e-01 -4.2817e+00 +2.0663e+00 +1.7637e+00
452 +5.561024632e+00 +5.561024632e+00 +8.504102463e+01 +8.504102463e+01 +7.2648e-01 -4.9929e-01 +2.8721e-02 +1.7050e+00 -2.7215e+00 -2.9156e-01 +3.2826e-01 +2.4587e-01 -1.6486e+00 -3.4734e+00 -3.9400e+00 +2.0822e+00 +1.3020e+00 +4.3269e-01 +4.4908e+00 +3.4346e+00 +1.0908e+00 -3.2654e+00 +2.2377e+00 +1.0227e+00
461 +3.948322459e+00 +3.948322459e+00 +8.342832246e+01 +8.342832246e+01 +3.7293e-01 +1.1837e-01 -4.6711e-01 +1.5941e+00 -2.9037e+00 +2.9376e-01 +2.2739e-03 +6.6891e-02 -1.7430e+00 -3.9378e+00 -3.8276e+00 +1.7907e+00 +1.6399e+00 +3.6172e-01 +4.0718e+00 +3.1961e+00 +1.9415e-01 -3.3623e+00 +2.3997e+00 +1.4015e+00
524 +2.316455202e+00 +2.316455202e+00 +8.179645520e+01 +8.179645520e+01 +2.1394e-02 -7.2415e-01 -7.8416e-01 +1.6099e+00 -2.2956e+00 +1.7212e-01 -5.5562e-01 -5.8392e-01 -2.1227e+00 -3.4526e+00 -3.9599e+00 +2.0891e+00 +1.2829e+00 +4.3053e-01 +3.5185e+00 +2.4345e+00 -1.6881e-01 -3.8815e+00 +2.5139e+00 +1.6353e+00
612 +1.554356243e+00 +1.554356243e+00 +8.103435624e+01 +8.103435624e+01 +3.9140e-01 -8.9161e-01 -1.1210e+00 +1.8924e+00 -2.8848e+00 +7.2413e-01 -6.7338e-01 +3.0964e-01 -1.8312e+00 -3.6184e+00 -3.7184e+00 +1.8378e+00 +8.4295e-01 +6.4937e-02 +3.7881e+00 +3.1167e+00 -2.6029e-01 -4.3503e+00 +2.2521e+00 +1.6306e+00
665 +7.665464515e-01 +7.665464515e-01 +8.024654645e+01 +8.024654645e+01 -1.8615e-02 -1.0897e+00 -6.9868e-01 +1.8382e+00 -3.0996e+00 +4.7548e-01 -2.7531e-01 +3.4500e-01 -1.5822e+00 -3.3012e+00 -3.5875e+00 +1.6360e+00 +1.0636e+00 +1.7731e-01 +3.4298e+00 +3.0541e+00 -4.3974e-02 -3.9235e+00 +2.3333e+00 +1.3890e+00
767 +5.244439490e-01 +5.244439490e-01 +8.000444395e+01 +8.000444395e+01 +1.1089e-01 -8.5416e-01 -3.8479e-01 +1.9105e+00 -2.5832e+00 +3.2936e-01 -9.6628e-02 +2.7986e-02 -1.4170e+00 -3.1525e+00 -3.7671e+00 +2.0196e+00 +1.0374e+00 +2.0113e-01 +3.9050e+00 +2.9617e+00 -1.8618e-01 -3.7970e+00 +2.2798e+00 +1.4942e+00
785 +3.713269413e-01 +3.713269413e-01 +7.985132694e+01 +7.985132694e+01 +7.4349e-02 -9.0768e-01 -5.8453e-01 +1.9233e+00 -2.6567e+00 +5.6621e-01 -2.3435e-01 +2.9638e-01 -1.6771e+00 -2.9247e+00 -3.8367e+00 +1.9451e+00 +1.0345e+00 -1.7412e-02 +3.8223e+00 +2.9238e+00 -1.2841e-01 -3.8147e+00 +2.6757e+00 +1.5136e+00
829 +2.126239834e-01 +2.126239834e-01 +7.969262398e+01 +7.969262398e+01 +2.3241e-01 -1.0165e+00 -5.6733e-01 +1.6928e+00 -2.7285e+00 +4.7695e-01 +3.7877e-02 +6.9340e-02 -1.5651e+00 -3.0088e+00 -3.8284e+00 +2.0249e+00 +1.0677e+00 -5.5009e-02 +3.7188e+00 +2.9846e+00 -1.8122e-01 -3.6930e+00 +2.3085e+00 +1.4025e+00
899 +6.514215249e-02 +6.514215249e-02 +7.954514215e+01 +7.954514215e+01 +3.5454e-01 -1.1497e+00 -7.1830e-01 +1.8968e+00 -2.7187e+00 +4.3334e-01 -1.0697e-01 +1.8981e-01 -1.5695e+00 -3.0374e+00 -3.9208e+00 +1.9306e+00 +1.1358e+00 -9.9587e-02 +3.6500e+00 +2.8813e+00 -2.2794e-01 -3.8033e+00 +2.3837e+00 +1.3313e+00
982 +6.134230373e-02 +6.134230373e-02 +7.954134230e+01 +7.954134230e+01 +1.4356e-01 -1.1483e+00 -6.8789e-01 +1.8768e+00 -2.6164e+00 +4.2032e-01 -1.4964e-01 +1.6987e-01 -1.5981e+00 -3.0121e+00 -3.8883e+00 +1.9441e+00 +1.0976e+00 -9.0720e-02 +3.7072e+00 +2.9423e+00 -1.4405e-01 -3.8326e+00 +2.4576e+00 +1.4265e+00
1026 +2.770401651e-02 +2.770401651e-02 +7.950770402e+01 +7.950770402e+01 +1.8735e-01 -1.1059e+00 -6.5209e-01 +1.9288e+00 -2.6731e+00 +4.2299e-01 -7.8807e-02 +1.0911e-01 -1.6126e+00 -3.0074e+00 -3.8977e+00 +1.9648e+00 +1.0924e+00 -1.2958e-01 +3.6150e+00 +2.9474e+00 -1.6550e-01 -3.9100e+00 +2.3479e+00 +1.3513e+00
1118 +2.505797780e-02 +2.505797780e-02 +7.950505798e+01 +7.950505798e+01 +2.4174e-01 -1.1556e+00 -6.7115e-01 +1.9185e+00 -2.7487e+00 +4.5750e-01 -2.7496e-02 +1.2778e-01 -1.5833e+00 -3.0086e+00 -3.8768e+00 +2.0379e+00 +1.0862e+00 -7.4632e-02 +3.6085e+00 +2.9282e+00 -1.0800e-01 -3.9475e+00 +2.3645e+00 +1.3333e+00
1136 +1.288922440e-02 +1.288922440e-02 +7.949288922e+01 +7.949288922e+01 +2.3865e-01 -1.1550e+00 -7.2020e-01 +1.9144e+00 -2.7098e+00 +4.3764e-01 -1.4513e-01 +1.3906e-01 -1.6104e+00 -3.0871e+00 -3.8560e+00 +2.0251e+00 +1.1316e+00 -6.8618e-02 +3.5986e+00 +2.8624e+00 -1.0556e-01 -3.9482e+00 +2.3460e+00 +1.3364e+00
1159 +9.883849947e-03 +9.883849947e-03 +7.948988385e+01 +7.948988385e+01 +2.9415e-01 -1.1539e+00 -7.2337e-01 +1.9130e+00 -2.7163e+00 +4.1307e-01 -1.3059e-01 +1.4730e-01 -1.6154e+00 -3.0305e+00 -3.8903e+00 +2.0587e+00 +1.0843e+00 -6.9535e-02 +3.6497e+00 +2.9302e+00 -1.1081e-01 -3.9220e+00 +2.3666e+00 +1.3550e+00
1238 +4.886978546e-03 +4.886978546e-03 +7.948488698e+01 +7.948488698e+01 +2.4051e-01 -1.1583e+00 -7.1211e-01 +1.9061e+00 -2.6759e+00 +4.3277e-01 -1.5736e-01 +1.2011e-01 -1.6486e+00 -3.0666e+00 -3.8597e+00 +2.0170e+00 +1.1136e+00 -9.2343e-02 +3.6484e+00 +2.9103e+00 -1.1977e-01 -3.9075e+00 +2.3651e+00 +1.3294e+00
1254 +3.319109672e-03 +3.319109672e-03 +7.948331911e+01 +7.948331911e+01 +2.5973e-01 -1.1659e+00 -7.1371e-01 +1.9082e+00 -2.6742e+00 +4.4160e-01 -1.1165e-01 +1.4201e-01 -1.6610e+00 -3.0549e+00 -3.8562e+00 +2.0197e+00 +1.1000e+00 -1.0974e-01 +3.6431e+00 +2.9008e+00 -1.0379e-01 -3.9122e+00 +2.3715e+00 +1.3534e+00
1380 +2.364871542e-03 +2.364871542e-03 +7.948236487e+01 +7.948236487e+01 +2.5896e-01 -1.1591e+00 -7.2221e-01 +1.9408e+00 -2.6832e+00 +4.3799e-01 -1.2939e-01 +1.4468e-01 -1.6399e+00 -3.0502e+00 -3.8557e+00 +2.0310e+00 +1.0802e+00 -8.8658e-02 +3.6516e+00 +2.9255e+00 -1.0317e-01 -3.9185e+00 +2.3583e+00 +1.3719e+00
1411 +1.326106664e-03 +1.326106664e-03 +7.948132611e+01 +7.948132611e+01 +2.4265e-01 -1.1631e+00 -7.1184e-01 +1.9125e+00 -2.6774e+00 +4.3444e-01 -1.1752e-01 +1.1978e-01 -1.6392e+00 -3.0565e+00 -3.8501e+00 +2.0105e+00 +1.0906e+00 -8.3220e-02 +3.6333e+00 +2.9136e+00 -1.0773e-01 -3.9243e+00 +2.3542e+00 +1.3692e+00
1448 +9.867247449e-04 +9.867247449e-04 +7.948098672e+01 +7.948098672e+01 +2.5561e-01 -1.1645e+00 -7.2507e-01 +1.9225e+00 -2.6825e+00 +4.4170e-01 -1.2419e-01 +1.3455e-01 -1.6401e+00 -3.0639e+00 -3.8610e+00 +2.0144e+00 +1.0978e+00 -8.1535e-02 +3.6555e+00 +2.9018e+00 -1.1686e-01 -3.9341e+00 +2.3672e+00 +1.3609e+00
1522 +6.282541525e-04 +6.282541525e-04 +7.948062825e+01 +7.948062825e+01 +2.5082e-01 -1.1505e+00 -7.2644e-01 +1.9232e+00 -2.6788e+00 +4.4089e-01 -1.2997e-01 +1.1888e-01 -1.6462e+00 -3.0540e+00 -3.8602e+00 +2.0162e+00 +1.0914e+00 -9.6216e-02 +3.6530e+00 +2.9053e+00 -1.2189e-01 -3.9323e+00 +2.3550e+00 +1.3616e+00
