% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.347072753e+03 +3.347072753e+03 +3.440012753e+03 +3.440012753e+03 -2.8998e+00 -3.3446e+00 -2.6580e+00 -4.5833e+00 +4.5690e+00 -4.5943e+00 -6.8952e-01 -3.6332e-01 -6.7193e-01 -2.6781e+00 +1.9322e+00 -3.6034e+00 -4.7394e+00 +4.3050e+00 -3.8259e+00 +1.8161e+00 +3.9506e+00 +4.8001e+00 -3.4198e+00 -4.0248e-01
2 +1.976358018e+03 +1.976358018e+03 +2.069298018e+03 +2.069298018e+03 -4.3494e+00 -1.4370e+00 +4.1088e+00 +9.7523e-01 -3.8397e+00 +3.1340e+00 +4.5924e+00 -1.2521e-01 -1.4338e+00 -1.1822e+00 -3.9251e+00 -5.3377e-01 -4.6519e+00 -3.4028e+00 -1.0184e+00 -1.9027e+00 +4.6893e+00 -4.3842e+00 +7.1541e-01 -3.7875e-01
16 +9.705470163e+02 +9.705470163e+02 +1.063487016e+03 +1.063487016e+03 -3.5392e+00 +2.8466e+00 -7.8764e-01 +3.5048e+00 -4.5971e-01 +4.0902e+00 -4.8144e-01 +2.8224e+00 +4.3926e+00 +8.3486e-02 +3.8293e+00 -3.8153e+00 +8.7827e-01 -3.2269e+00 +1.2121e+00 -4.4610e+00 -1.5493e+00 -2.1255e+00 +2.8834e+00 -3.0679e+00
69 +3.756035885e+02 +3.756035885e+02 +4.685435885e+02 +4.685435885e+02 +3.2249e-01 -1.3089e+00 -1.1050e+00 +1.8561e+00 +1.0242e+00 -1.4613e+00 +4.3481e+00 -3.5629e+00 +4.5512e+00 +2.7123e+00 +4.7837e+00 -4.6299e+00 -1.4269e+00 -2.0224e-01 +1.1016e+00 +7.7024e-01 +3.4165e+00 -2.9452e+00 +1.1883e+00 +1.0554e+00
912 +2.273991805e+02 +2.273991805e+02 +3.203391805e+02 +3.203391805e+02 +6.0346e-01 -4.4484e-01 -1.1577e+00 -1.0844e-01 +1.2063e+00 +4.3785e+00 +2.4826e+00 -9.4712e-01 +2.4393e+00 +1.6280e+00 +3.5237e+00 -5.8331e+00 -4.0344e-01 -6.4546e-01 +2.7336e+00 +1.0135e+00 +1.2254e+00 -2.2152e+00 +2.6659e+00 +5.7850e-01
917 +1.502502208e+02 +1.502502208e+02 +2.431902208e+02 +2.431902208e+02 +4.1434e-01 +5.0447e+00 +3.5009e+00 +2.1222e+00 +2.5768e+00 +2.9659e+00 +4.3704e+00 +1.9574e+00 +3.7480e+00 +2.9936e+00 -6.0253e-01 -4.5399e+00 +2.2373e+00 -8.2712e-01 +1.3575e+00 -5.8341e-01 +1.0307e+00 -2.7381e+00 +2.9069e+00 -2.4267e+00
1767 +7.942193542e+01 +7.942193542e+01 +1.723619354e+02 +1.723619354e+02 +6.2727e-01 +1.6216e+00 +2.3977e+00 +1.8588e+00 +2.0899e+00 +4.4617e+00 -1.2431e+00 -8.9119e-01 +3.9257e+00 +3.8121e+00 +2.7554e+00 -5.1778e+00 -2.5962e+00 +4.0082e-01 +8.2361e-01 -8.7598e-01 +4.5040e-01 -2.0677e+00 +2.0360e+00 -1.0595e+00
2965 +5.159290675e+01 +5.159290675e+01 +1.445329068e+02 +1.445329068e+02 +1.5923e+00 +1.1719e+00 +1.7256e+00 +3.5318e+00 +2.1213e+00 +3.4978e+00 +1.1506e+00 -1.9232e+00 +2.1351e+00 +3.0071e+00 +1.3900e+00 -4.0292e+00 -2.3932e+00 -1.9456e-01 +1.6828e+00 +2.3359e+00 +3.7167e+00 -2.9926e+00 +2.9536e+00 -1.1602e+00
3344 +2.877011747e+01 +2.877011747e+01 +1.217101175e+02 +1.217101175e+02 -4.9317e-01 +2.7712e-01 +6.3395e-01 +3.2969e+00 +2.2515e+00 +4.7322e+00 +2.1162e+00 -1.7803e+00 +4.1403e+00 +2.7439e+00 +3.7870e-01 -3.5395e+00 -1.2501e+00 +1.6397e+00 +2.3554e+00 +1.2373e+00 +2.1371e+00 -3.0711e+00 +4.3038e+00 +1.6183e+00
4803 +2.006221263e+01 +2.006221263e+01 +1.130022126e+02 +1.130022126e+02 -5.5037e-03 +1.1182e+00 +1.9804e-01 +2.3025e+00 +1.3230e+00 +4.8356e+00 +1.5081e+00 -6.7794e-01 +2.9595e+00 +2.4579e+00 +2.3102e+00 -4.2788e+00 -2.1234e+00 +2.2954e-01 +1.3898e+00 +5.5552e-01 +3.1650e+00 -2.8869e+00 +1.9489e+00 +1.0312e-01
5225 +1.280441432e+01 +1.280441432e+01 +1.057444143e+02 +1.057444143e+02 -8.8677e-02 +1.7134e+00 +1.2424e+00 +2.2201e+00 +2.8204e+00 +3.1673e+00 +1.5956e+00 -2.9831e+00 +3.9818e+00 +2.5457e+00 +6.4997e-01 -4.9368e+00 +2.1883e-01 +7.3906e-01 +9.7013e-01 +2.2173e+00 +3.2632e+00 -2.6716e+00 +1.8549e+00 +7.3710e-01
5426 +8.199135386e+00 +8.199135386e+00 +1.011391354e+02 +1.011391354e+02 +3.5277e-01 +1.9943e+00 -2.5048e-02 +2.7866e+00 +1.9633e+00 +4.4733e+00 +3.0255e+00 -2.2092e+00 +2.1448e+00 +1.9715e+00 +1.6881e+00 -3.3480e+00 -1.8542e+00 +4.7959e-01 +1.2290e+00 +2.4317e+00 +4.5063e+00 -3.5522e+00 +7.2726e-01 -2.9722e-02
7609 +3.131348069e+00 +3.131348069e+00 +9.607134807e+01 +9.607134807e+01 -2.3064e-01 +9.2162e-01 +4.9632e-01 +3.2401e+00 +2.0351e+00 +4.4229e+00 +2.3040e+00 -2.0453e+00 +3.3613e+00 +2.3200e+00 +9.1344e-01 -3.3909e+00 -1.2144e+00 +1.1567e+00 +1.3041e+00 +2.3208e+00 +4.0264e+00 -3.4073e+00 +2.1410e+00 +3.4245e-01
11206 +2.464998150e+00 +2.464998150e+00 +9.540499815e+01 +9.540499815e+01 -2.7702e-01 +8.9253e-01 +1.8193e-01 +3.2697e+00 +2.4873e+00 +3.9824e+00 +2.0634e+00 -2.7027e+00 +3.3054e+00 +2.1758e+00 +1.3366e+00 -3.5381e+00 -1.2088e+00 +8.5714e-01 +1.1880e+00 +2.5334e+00 +4.0336e+00 -3.2687e+00 +2.1962e+00 +8.3056e-01
13105 +1.431935211e+00 +1.431935211e+00 +9.437193521e+01 +9.437193521e+01 -1.0572e-01 +6.7234e-01 +4.3152e-01 +2.9009e+00 +2.4909e+00 +4.1726e+00 +2.0761e+00 -2.5042e+00 +3.7756e+00 +2.3487e+00 +1.7495e+00 -3.8526e+00 -1.1978e+00 +1.1143e+00 +1.2985e+00 +2.3483e+00 +3.4736e+00 -3.1933e+00 +1.9407e+00 +7.5653e-01
14701 +9.259923812e-01 +9.259923812e-01 +9.386599238e+01 +9.386599238e+01 -1.6376e-01 +6.6173e-01 +3.4934e-01 +3.0271e+00 +2.4776e+00 +4.0517e+00 +2.1214e+00 -2.5730e+00 +3.7655e+00 +2.3261e+00 +1.5842e+00 -3.7748e+00 -1.1978e+00 +9.8563e-01 +1.2947e+00 +2.2657e+00 +3.4638e+00 -3.1744e+00 +1.9757e+00 +7.4463e-01
16501 +5.469424203e-01 +5.469424203e-01 +9.348694242e+01 +9.348694242e+01 -1.4413e-01 +8.4366e-01 +2.9274e-01 +3.0458e+00 +2.4672e+00 +4.0691e+00 +2.0036e+00 -2.2811e+00 +3.6500e+00 +2.3680e+00 +1.4937e+00 -3.8129e+00 -1.1239e+00 +8.9871e-01 +1.3061e+00 +2.1597e+00 +3.5119e+00 -3.1608e+00 +1.9548e+00 +7.8683e-01
18049 +3.831532242e-01 +3.831532242e-01 +9.332315322e+01 +9.332315322e+01 -2.2421e-01 +8.9377e-01 +3.8647e-01 +3.1044e+00 +2.3522e+00 +3.9504e+00 +1.7447e+00 -2.3025e+00 +3.6739e+00 +2.2817e+00 +1.6085e+00 -3.7715e+00 -1.4641e+00 +6.2769e-01 +1.2331e+00 +2.5486e+00 +3.6823e+00 -3.1540e+00 +2.1600e+00 +5.0667e-01
19001 +1.797765844e-01 +1.797765844e-01 +9.311977658e+01 +9.311977658e+01 -1.2276e-01 +8.9565e-01 +3.6275e-01 +3.0886e+00 +2.3147e+00 +3.9712e+00 +1.9634e+00 -2.3306e+00 +3.5660e+00 +2.2995e+00 +1.6545e+00 -3.8245e+00 -1.4042e+00 +6.4593e-01 +1.2888e+00 +2.5828e+00 +3.7039e+00 -3.1649e+00 +2.2834e+00 +5.6729e-01
19502 +1.549917925e-01 +1.549917925e-01 +9.309499179e+01 +9.309499179e+01 -1.9680e-01 +8.7841e-01 +3.9414e-01 +3.0220e+00 +2.4412e+00 +3.8863e+00 +1.8516e+00 -2.4766e+00 +3.8358e+00 +2.2633e+00 +1.7063e+00 -3.8195e+00 -1.4023e+00 +6.8475e-01 +1.2616e+00 +2.5908e+00 +3.6231e+00 -3.1321e+00 +2.3408e+00 +6.1235e-01
