% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.246492596e+01 +9.246492596e+01 +1.638149260e+02 +1.638149260e+02 +4.2243e+00 -3.8821e+00 -3.0838e+00 +3.2702e+00 -3.0974e+00 -4.4091e+00 -4.5477e+00 +4.8944e+00 +3.7118e+00 +2.0443e+00 +4.8247e+00 +1.6104e+00 +3.1550e+00 -2.8066e+00 +2.4775e+00 -3.6219e+00 +6.7009e-01 -7.7870e-02 -2.1686e+00 +3.9172e+00
2 +4.905914169e+01 +4.905914169e+01 +1.204091417e+02 +1.204091417e+02 +4.3495e+00 +8.3464e-01 -4.5335e+00 +4.5085e-01 +3.3552e+00 +1.3381e+00 +3.3400e+00 +9.5725e-01 +3.0531e+00 -3.0358e+00 +2.4125e+00 +4.7226e-01 +2.2774e+00 -1.0386e+00 -4.2543e+00 -1.8642e+00 -1.6621e+00 -1.8064e+00 +4.3378e+00 +4.5697e+00
10 +3.501000707e+01 +3.501000707e+01 +1.063600071e+02 +1.063600071e+02 -3.4302e+00 +4.8164e+00 -1.7188e+00 +5.7157e-01 -2.6128e+00 -8.8649e-01 +4.1202e+00 +1.5662e+00 -1.6735e+00 +2.0285e+00 -4.9036e+00 -2.1563e+00 +1.9987e+00 -1.2027e+00 +3.7914e+00 +9.7670e-01 +4.1920e+00 +3.1920e+00 -2.7917e-01 +4.2347e+00
3467 +2.113175414e+01 +2.113175414e+01 +9.248175414e+01 +9.248175414e+01 +3.7120e-01 -4.9130e+00 -7.9245e-01 +3.2353e+00 -2.2126e+00 +6.9905e+00 +2.9397e+00 -1.8336e-01 -6.5257e+00 +1.4418e+00 -3.5568e+00 +1.2074e+00 -4.0798e-01 -2.4002e+00 -3.7246e+00 +1.5458e+00 -4.9413e-01 +2.8688e+00 -1.2657e+00 -7.8585e-01
17701 +1.488530691e+01 +1.488530691e+01 +8.623530691e+01 +8.623530691e+01 -8.6113e-02 -5.7148e+00 +1.3022e+00 +3.2239e+00 -2.6362e+00 -1.0153e+00 +1.2539e+00 -2.7842e+00 +3.3239e+00 -2.4731e+00 -6.8373e+00 +2.2358e+00 -4.0342e+00 -3.7144e+00 +1.0390e+00 -4.8985e+00 -2.8422e-02 -1.7942e+00 -7.3190e-01 -4.3994e-01
36301 +9.938991918e+00 +9.938991918e+00 +8.128899192e+01 +8.128899192e+01 -5.0255e-01 -2.4155e+00 +2.6194e-01 +2.7088e+00 -1.3621e+00 -2.3470e-01 +1.6224e+00 +1.8577e-02 +4.0401e+00 +2.1385e+00 -2.3270e-01 +3.0991e+00 +1.5756e+00 +5.6485e-01 +2.7434e+00 +4.8850e-01 +8.1011e-02 -4.4598e+00 -2.4981e+00 +5.4463e-01
345502 +6.202878619e+00 +6.202878619e+00 +7.755287862e+01 +7.755287862e+01 +3.7904e+00 +2.3648e+00 -2.4844e+00 -2.5598e+00 +3.1574e-01 +5.0444e+00 +2.3566e+00 -9.7131e-01 -3.9122e+00 -1.4151e+00 -6.5794e-01 -5.0614e+00 +8.2961e-01 -1.6265e+00 +8.2009e-01 +4.1046e+00 -7.1622e-01 -5.7075e+00 +2.7907e-01 -1.5104e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.839646173e+01 +7.839646173e+01 -2.768235383e+02 -2.768235383e+02 -4.5662e+00 +5.0277e-01 +1.8874e+00 +3.8621e-01 +2.4044e+00 +4.2356e+00 -1.7526e+00 +1.7026e+00 +2.1080e+00 -4.7351e+00 -1.4973e+00 +4.6416e+00 +9.6671e-01 +6.3970e-02 +2.1201e+00 +2.7151e+00 +2.3245e+00 +2.6462e+00 -3.1999e+00 +2.0452e+00
8 +4.648243564e+01 +4.648243564e+01 -3.087375644e+02 -3.087375644e+02 -1.9169e+00 -2.5151e+00 +1.4549e+00 +4.9701e+00 +2.6160e+00 +1.6457e+00 +6.6185e-01 -3.5897e+00 -2.4195e+00 -1.3791e+00 +3.0946e+00 +9.6414e-01 +8.5785e-01 -3.9411e+00 -1.9538e+00 -1.7481e+00 -4.9468e-01 +2.5537e+00 +8.1226e-01 -3.1107e+00
