% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.444587221e+02 +1.444587221e+02 +1.352487221e+02 +1.352487221e+02 -3.7961e+00 +3.0162e+00 +2.1928e+00 -8.5057e-01 +4.0357e+00
2 +6.483653365e+01 +6.483653365e+01 +5.562653365e+01 +5.562653365e+01 +4.5264e+00 -2.5703e+00 +1.1549e+00 +1.5930e-01 -3.8479e+00
3 +5.642045987e+01 +5.642045987e+01 +4.721045987e+01 +4.721045987e+01 +7.2292e-01 -6.2429e-01 -5.8966e-01 +4.1695e+00 -3.0204e+00
51 +3.797345360e+01 +3.797345360e+01 +2.876345360e+01 +2.876345360e+01 -1.3611e+00 +4.4000e-01 -4.9629e-01 +3.9112e+00 -5.0549e+00
53 +2.102105850e+01 +2.102105850e+01 +1.181105850e+01 +1.181105850e+01 +1.7590e+00 +2.4387e-01 +2.3729e+00 +4.8196e+00 -5.5556e+00
128 +1.526043906e+01 +1.526043906e+01 +6.050439064e+00 +6.050439064e+00 +1.8140e+00 +4.0188e+00 +5.1204e+00 +3.1631e+00 -7.4117e+00
153 +8.591642045e+00 +8.591642045e+00 -6.183579554e-01 -6.183579554e-01 +1.8027e+00 +1.9665e+00 +7.6644e+00 +8.9318e+00 -7.2365e+00
179 +4.309263067e+00 +4.309263067e+00 -4.900736933e+00 -4.900736933e+00 +3.9674e+00 +3.1574e+00 +5.9051e+00 +6.7176e+00 -5.0164e+00
228 +1.955602870e+00 +1.955602870e+00 -7.254397130e+00 -7.254397130e+00 +5.5775e+00 +5.4429e+00 +6.0586e+00 +4.6522e+00 -7.5086e+00
260 -7.105427358e-15 -7.105427358e-15 -9.210000000e+00 -9.210000000e+00 +5.2968e+00 +7.6275e+00 +9.1781e+00 +8.3493e+00 -6.2126e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.528749385e+02 +1.528749385e+02 +8.088649385e+02 +8.088649385e+02 -4.6190e+00 +1.5995e+00 -2.0478e-01 +7.2127e-01 +4.2295e+00
3 +7.200535588e+01 +7.200535588e+01 +7.279953559e+02 +7.279953559e+02 -4.3231e+00 -2.6311e+00 +2.4536e+00 +1.3812e+00 -3.5451e+00
14 +5.881868663e+01 +5.881868663e+01 +7.148086866e+02 +7.148086866e+02 +2.0611e+00 -1.7768e+00 -2.9203e+00 +3.5607e+00 -1.4522e+00
20 +3.846000891e+01 +3.846000891e+01 +6.944500089e+02 +6.944500089e+02 +1.1123e+00 -4.8463e+00 +2.4023e+00 +3.3480e+00 -4.8399e+00
53 +2.314768877e+01 +2.314768877e+01 +6.791376888e+02 +6.791376888e+02 +1.2336e+00 -5.0670e+00 -3.0995e+00 +5.8271e+00 -3.6629e+00
80 +1.031058351e+01 +1.031058351e+01 +6.663005835e+02 +6.663005835e+02 -3.9717e-01 -4.6842e+00 -3.6239e+00 +6.6024e+00 -8.3966e+00
133 +9.252334139e+00 +9.252334139e+00 +6.652423341e+02 +6.652423341e+02 -1.4123e-01 -2.6882e+00 -8.1730e+00 +6.5451e+00 -5.1777e+00
143 +2.955250909e+00 +2.955250909e+00 +6.589452509e+02 +6.589452509e+02 +2.0447e+00 -6.6778e+00 -6.4877e+00 +7.8977e+00 -6.1228e+00
157 +0.000000000e+00 +0.000000000e+00 +6.559900000e+02 +6.559900000e+02 +6.7033e+00 -5.7232e+00 -1.2681e+01 +8.0897e+00 -5.3832e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.719004825e+02 +1.719004825e+02 +2.386104825e+02 +2.386104825e+02 +5.9869e-01 -2.0218e+00 +2.7115e+00 -3.4552e+00 +3.9073e+00
2 +3.888332942e+01 +3.888332942e+01 +1.055933294e+02 +1.055933294e+02 +5.4595e-02 +1.8799e+00 -4.5420e+00 +2.0513e+00 -4.6436e+00
27 +2.229205369e+01 +2.229205369e+01 +8.900205369e+01 +8.900205369e+01 +5.4595e-02 +1.7154e+00 -4.7612e+00 +4.8264e+00 -4.6436e+00
73 +2.308449797e+00 +2.308449797e+00 +6.901844980e+01 +6.901844980e+01 -4.6789e+00 -4.2616e+00 -4.7868e+00 +7.8428e+00 -1.0069e+01
128 +7.728959053e-01 +7.728959053e-01 +6.748289591e+01 +6.748289591e+01 -5.7532e+00 -4.5654e+00 -5.8378e+00 +5.8285e+00 -1.2947e+01
176 +1.421085472e-14 +1.421085472e-14 +6.671000000e+01 +6.671000000e+01 -5.7532e+00 -8.5132e+00 -8.2043e+00 +5.8285e+00 -9.8130e+00
